[train] device: cuda
[split] kept 5837/5949 rows with FITS on disk (929 positives)
[split] split counts:
label     0    1
split           
test    490   93
train  3436  650
val     982  186
[stat] computing per-band mean/std from 500 training cutouts
[stat] mean=[0.003005614271387458, 0.0058005983009934425, 0.01092549692839384],  std=[0.11233286559581757, 0.15523555874824524, 0.21915051341056824]
[e111] lr=1.0e-05  train=0.0187  val=0.0669  val_auc=0.9973  t=22.7 min
[e112] lr=1.0e-05  train=0.0200  val=0.0445  val_auc=0.9981  t=23.0 min
[e113] lr=1.0e-05  train=0.0190  val=0.0496  val_auc=0.9981  t=23.2 min
[e114] lr=1.0e-05  train=0.0193  val=0.0753  val_auc=0.9951  t=23.4 min
[e115] lr=1.0e-05  train=0.0174  val=0.0701  val_auc=0.9973  t=23.6 min
[e116] lr=1.0e-05  train=0.0204  val=0.0636  val_auc=0.9968  t=23.9 min
[e117] lr=1.0e-05  train=0.0222  val=0.0688  val_auc=0.9968  t=24.1 min
[e118] lr=1.0e-05  train=0.0215  val=0.0500  val_auc=0.9978  t=24.3 min
[e119] lr=1.0e-05  train=0.0177  val=0.0547  val_auc=0.9974  t=24.5 min
[e120] lr=1.0e-05  train=0.0178  val=0.0849  val_auc=0.9954  t=24.8 min

[test] best_val_auc=0.9983  test_auc=0.9991  (at epoch 93)
