row_id,p_shielded194k,p_effnet,p_meta,p_avg,ra,dec,p_l18,p_shielded60k,in_neuralens_l18,in_neuralens_shielded,in_huang2020,in_huang2021,in_storfer2024,in_inchausti2025,in_hsu2025,in_any
179397_3935,0.99999714,1.0,0.99975055,0.9999985694885254,68.26475204917811,-27.239821024580113,0.9999734163284302,0.9999631643295288,False,False,False,False,False,False,False,False
196121_2849,0.9999894,1.0,0.99975055,0.999994695186615,21.086032768320802,-24.02996980096104,0.9999537467956543,0.9998773336410522,False,False,False,False,False,False,False,False
404789_1076,0.99999046,0.99999905,0.99975055,0.9999947547912598,25.994900359492114,12.936116137323799,0.999984860420227,0.9997022747993469,True,False,False,True,False,False,False,True
217653_6794,0.9999845,1.0,0.99975055,0.9999922513961792,63.161556343862514,-19.90233755457662,0.9999858140945435,0.9999675750732422,False,False,False,False,False,False,False,False
212207_6131,0.9999895,1.0,0.99975055,0.9999947547912598,50.65970761998096,-20.95673559196022,0.9999442100524902,0.9996234178543091,False,False,False,False,False,False,False,False
210799_2629,0.99999726,1.0,0.99975055,0.9999986290931702,33.497844178925995,-21.282725422938704,0.999974250793457,0.9999550580978394,False,False,False,False,False,False,False,False
139825_1178,0.9999995,1.0,0.99975055,0.9999997615814209,18.9225855441863,-35.338618948305516,0.9999592304229736,0.9999428987503052,False,False,False,False,False,False,False,False
251984_2227,0.9999988,0.9999995,0.99975055,0.9999991655349731,27.328397343202052,-13.817976521643368,0.9999755620956421,0.9999721050262451,False,False,True,False,False,False,False,True
486473_5140,0.9999831,0.99999726,0.99975055,0.9999901652336121,252.91727611161252,28.08809608756359,0.9998581409454346,0.9998615980148315,True,False,False,True,False,False,False,True
564656_2476,0.999997,0.9999871,0.99975055,0.9999920725822449,116.96046202098962,45.01510492977909,0.9998169541358948,0.998798131942749,False,False,False,False,False,False,False,False
254764_3178,0.9999951,0.99999964,0.99975055,0.9999973773956299,21.54958931551046,-13.278369793388688,0.9999815225601196,0.9998605251312256,False,False,False,False,False,False,False,False
565742_2760,0.99999666,0.9999864,0.99975055,0.9999915361404419,140.20810526141884,45.366073619663105,0.9983751773834229,0.9996391534805298,False,False,False,False,True,False,False,True
423463_3616,0.9999863,0.9999994,0.99975055,0.999992847442627,164.18659514970946,16.30703060188618,0.9999303817749023,0.9998490810394287,True,False,False,True,False,False,False,True
154277_4252,0.99999535,0.99999785,0.99975055,0.9999966025352478,39.873638490287796,-32.19158185440456,0.9999812841415405,0.9999377727508545,False,False,False,False,False,False,False,False
369733_4083,0.999995,0.99999964,0.99975055,0.9999973177909851,137.01966123036055,6.832570436274316,0.9999643564224243,0.9997237324714661,False,False,False,False,False,True,False,True
296099_2287,0.9999827,1.0,0.99975055,0.9999913573265076,62.247445007603105,-5.998196754641418,0.9999023675918579,0.9998937845230103,True,False,False,True,False,False,False,True
519257_2331,1.0,0.99999845,0.99975055,0.9999992251396179,118.84796416082611,34.76097114784694,0.9999920129776001,0.99993896484375,True,False,False,True,False,False,False,True
519257_2330,0.99999857,0.99997115,0.99975055,0.999984860420227,118.8470597640318,34.75956884849992,0.9998013377189636,0.9998201727867126,True,False,False,True,False,False,False,True
175463_31,0.9999939,0.9999993,0.99975055,0.9999966025352478,39.31122259145159,-28.121987680757154,0.9990686774253845,0.9998495578765869,False,False,False,False,False,True,False,True
589661_2376,0.99999595,0.99999607,0.99975055,0.9999960064888,108.46957749811821,51.516821529948565,0.0010807320941239595,0.9995508790016174,False,False,False,False,False,False,False,False
180593_107,0.99997747,0.99999857,0.99975055,0.9999880194664001,44.09743677933226,-27.12184053255022,0.9999843835830688,0.9998750686645508,False,False,False,False,False,False,False,False
491599_6170,0.9999858,1.0,0.99975055,0.9999929070472717,269.7332748072447,29.074193503345455,0.9999827146530151,0.999864935874939,False,True,False,True,False,False,True,True
609428_1241,0.9999839,0.9999918,0.99975055,0.9999878406524658,282.0472354963789,57.16880836852744,0.9979616403579712,0.998288094997406,False,False,False,False,False,False,False,False
37475_6104,0.9999938,0.99999845,0.99975055,0.9999961256980896,48.229797499451,-62.3906574240613,0.9962326884269714,0.9979363679885864,False,False,False,False,False,False,False,False
325956_4237,0.999995,0.99999523,0.99975055,0.9999951124191284,337.18228722358225,-1.0040501536082973,0.9999104738235474,0.9996119141578674,False,False,False,False,False,False,False,False
252072_4235,0.9999914,1.0,0.99975055,0.9999957084655762,50.12320718742051,-13.705488228977039,0.9998863935470581,0.9988164901733398,False,False,False,False,False,False,False,False
