name,RA,DEC,grade,probability,region,tractor_type,ref,cutout_ok,our_p_resnet,our_p_effnet,our_p_meta,our_p_avg
DESI-140.2081+45.3662,140.2081,45.3662,A,0.78,BASS/MzLS,DEV,v,True,0.9999987,0.9999957,0.99975055,0.9999971985816956
DESI-140.2180+09.0616,140.2180393,9.061597537,A,0.49,DECaLS,DEV,v,True,0.77210313,0.99915195,0.9967939,0.8856275379657745
DESI-140.6980+15.6920,140.6980486,15.6919792,A,1.0,DECaLS,SER,v,True,0.9993062,0.9999256,0.9997484,0.9996159076690674
DESI-147.1781+02.0143,147.1781,2.014272972,A,0.96,DECaLS,DEV,,True,0.9696035,0.99999905,0.99964154,0.9848012626171112
DESI-155.7849+51.1794,155.7848713,51.17943388,A,0.9,BASS/MzLS,SER,v,True,0.99901307,0.9995365,0.99974674,0.9992747902870178
DESI-170.0945+19.3235,170.0944587,19.32345458,A,0.99,DECaLS,SER,,True,0.9934023,0.9993981,0.99972886,0.9964002072811127
DESI-175.6114+11.5131,175.6113809,11.51306077,A,0.79,DECaLS,DEV,,True,0.16142355,0.022972036,0.00036564507,0.09219779260456562
DESI-176.1885+28.0522,176.1885081,28.05221037,A,0.94,DECaLS,EXP,v,True,0.38256884,0.99996066,0.9717665,0.6912647485733032
DESI-176.8472+33.5316,176.8472,33.5316,A,0.42,BASS/MzLS,DEV,v,True,0.9542594,0.9916477,0.9995415,0.9729535579681396
DESI-188.6920+23.0169,188.692,23.0169,A,0.49,DECaLS,SER,,True,0.9578391,0.99999976,0.99958986,0.9789194166660309
DESI-191.9769+24.9899,191.9769,24.9899,A,0.6,DECaLS,REX,,True,0.7934567,0.9447736,0.99563295,0.8691151440143585
DESI-198.0034+06.7318,198.0033938,6.731820402,A,0.47,DECaLS,SER,,True,0.001075844,0.0006090889,7.752642e-05,0.0008424664847552776
DESI-198.7770+51.8168,198.7719,51.8175,A,0.45,BASS/MzLS,SER,,True,0.99694675,0.99921525,0.9997398,0.9980809986591339
DESI-204.1933+33.4777,204.1932876,33.47770076,A,0.82,BASS/MzLS,SER,l,True,0.976265,0.0004021788,0.86404717,0.48833359600394033
DESI-205.1337-00.6272,205.1336948,-0.6272202776,A,1.0,DECaLS,DEV,,True,0.9955694,0.99333715,0.999724,0.9944532811641693
DESI-205.4070+20.0800,205.4066,20.0794,A,0.99,DECaLS,SER,v,True,0.03684802,0.9982535,0.83452123,0.5175507720559835
DESI-242.3459+16.0002,242.3468,16.0009,A,1.0,DECaLS,EXP,v,True,0.9971347,0.9999993,0.99974185,0.9985669851303101
DESI-253.7972+59.9533,253.797241,59.95334559,A,0.95,BASS/MzLS,SER,,True,0.8478451,0.014388476,0.6005444,0.43111677654087543
DESI-302.8575-57.4194,302.8624,-57.4197,A,0.8,DECaLS,EXP,,True,0.92439854,1.0,0.9994035,0.9621992707252502
DESI-318.0894-48.0294,318.0893577,-48.02937115,A,1.0,DECaLS,SER,w v,True,0.9929725,0.99999964,0.9997286,0.9964860677719116
DESI-319.5030-08.6882,319.5030089,-8.688180344,A,0.57,DECaLS,SER,,True,0.03372491,0.6057551,0.022275336,0.31974000111222267
DESI-320.0442+00.0994,320.0441553,0.09942894353,A,0.99,DECaLS,SER,,True,0.99836475,0.99979955,0.9997453,0.9990821480751038
DESI-321.1129-61.4196,321.112896,-61.41956663,A,1.0,DECaLS,DEV,w,True,0.99978536,0.99999523,0.99974996,0.9998902976512909
DESI-322.8425-58.9938,322.8424691,-58.99383007,A,0.81,DECaLS,SER,,True,0.9816016,0.99998856,0.999689,0.9907950758934021
DESI-324.2094-62.6820,324.2094304,-62.68201997,A,0.5,DECaLS,SER,,True,0.9954204,1.0,0.9997365,0.9977101981639862
DESI-324.5073-60.1290,324.5035,-60.1317,A,0.52,DECaLS,DEV,,True,0.9939329,1.0,0.9997317,0.9969664514064789
DESI-324.7803-42.8616,324.7803454,-42.86157591,A,1.0,DECaLS,SER,v i,True,0.99999714,0.99999917,0.99975055,0.999998152256012
DESI-331.3228-44.0673,331.3224,-44.0698,A,0.52,DECaLS,DEV,,True,0.9988305,0.9999937,0.9997471,0.9994120895862579
DESI-331.6644+13.3813,331.6647,13.3842,A,1.0,DECaLS,DEV,,True,0.9986125,0.98678315,0.999721,0.9926978349685669
DESI-332.5120+26.0689,332.5120253,26.06889445,A,0.99,DECaLS,SER,v,True,0.8456706,0.9999988,0.99856,0.9228346943855286
DESI-335.9213-63.4922,335.9213321,-63.49215689,A,0.96,DECaLS,SER,w v,True,0.99859935,0.9999999,0.9997464,0.9992996156215668
DESI-337.6681-59.6442,337.6680706,-59.64422297,A,1.0,DECaLS,DEV,,True,0.9997904,0.999757,0.9997495,0.9997736811637878
DESI-338.1410-59.9981,338.1409818,-59.99812739,A,0.99,DECaLS,SER,i,True,0.99750656,1.0,0.99974304,0.9987532794475555
DESI-340.5899+00.1957,340.5899337,0.1957229104,A,0.92,DECaLS,SER,g o m,True,0.17971803,0.98909366,0.909622,0.5844058468937874
DESI-341.1450-59.1528,341.1449858,-59.15283486,A,1.0,DECaLS,DEV,v,True,0.99775225,0.9999732,0.99974376,0.9988627135753632
DESI-342.1955-44.5260,342.183,-44.5309,A,0.9,DECaLS,SER,,True,0.99626786,1.0,0.9997391,0.9981339275836945
DESI-343.6329-50.4884,343.632928,-50.48840085,A,0.46,DECaLS,SER,,True,0.10771197,0.8270645,0.39017892,0.46738824248313904
DESI-348.7317-55.8859,348.7317018,-55.88592476,A,0.99,DECaLS,SER,v,True,0.96678513,1.0,0.99962974,0.9833925664424896
DESI-349.9368-40.2188,349.9367719,-40.21875452,A,0.94,DECaLS,SER,,True,0.9857972,0.9999989,0.9997042,0.9928980767726898
DESI-350.1423-54.4543,350.1422919,-54.45425385,A,0.97,DECaLS,SER,,True,0.95760167,0.99996865,0.99958867,0.9787851572036743
DESI-350.6766-64.1645,350.6816,-64.1651,A,1.0,DECaLS,DEV,i,True,0.9979215,1.0,0.99974424,0.9989607632160187
DESI-352.8496+03.3890,352.85,3.3898,A,0.63,DECaLS,DEV,,True,0.9943098,0.765883,0.9988188,0.8800964057445526
DESI-352.9621-50.8607,352.9632,-50.865,A,0.93,DECaLS,DEV,,True,0.7474303,0.9999995,0.9960098,0.8737149238586426
DESI-354.9215+00.0122,354.9215246,0.01215600098,A,0.91,DECaLS,REX,,True,0.024240702,0.066413336,0.00014023118,0.045327018946409225
DESI-355.6501-46.8744,355.6500946,-46.87442705,A,0.63,DECaLS,SER,w v,True,0.997696,1.0,0.99974364,0.9988479912281036
DESI-359.4515-64.4272,359.4514591,-64.42723639,A,0.97,DECaLS,SER,,True,0.9984876,0.99999535,0.999746,0.9992414712905884
