RA,DEC,source,is_new,Name,status,flux_std
29.64965,-1.84734,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.6497-01.8473,ok,0.02696404792368412
29.65434,-6.29526,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.6543-06.2953,ok,0.007441911846399307
29.68244,-6.08912,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.6824-06.0891,ok,0.00765695096924901
29.75914,-5.17353,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.7591-05.1735,ok,0.018313482403755188
29.78103,-3.7132,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.7810-03.7132,ok,0.01511391717940569
29.80745,-5.41747,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.8074-05.4175,ok,0.013017922639846802
29.8056,-5.72243,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.8056-05.7224,ok,0.006376201752573252
29.9092,-3.983,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.9092-03.9830,ok,0.005894305184483528
29.9119,-4.7158,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.9119-04.7158,ok,0.011605768464505672
29.98322,-3.17593,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.9832-03.1759,ok,0.007018980570137501
29.99278,-5.07434,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.9928-05.0743,ok,0.028113292530179024
30.01274,-4.01639,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.0127-04.0164,ok,0.010492201894521713
30.07713,-3.09712,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.0771-03.0971,ok,0.006605430971831083
30.08717,-4.88244,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.0872-04.8824,ok,0.011181219480931759
30.1065,-5.4821,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.1065-05.4821,ok,0.0332772396504879
30.12003,-3.61442,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.1200-03.6144,ok,0.007539135869592428
30.1235,-5.4756,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.1235-05.4756,ok,0.027905816212296486
