name,RA,DEC,grade,probability,region,tractor_type,ref,status,bytes
DESI-014.9293-17.2773,14.92926438,-17.27730442,B,0.88,DECaLS,REX,,skip,126720
DESI-015.4190+03.2202,15.41901171,3.220204007,B,0.99,DECaLS,SER,,skip,126720
DESI-015.7911-62.2942,15.79114142,-62.29417462,B,0.71,DECaLS,DEV,,skip,126720
DESI-016.1281-05.0307,16.12811361,-5.030745613,B,1.0,DECaLS,REX,,skip,126720
DESI-016.2757-36.6008,16.27565187,-36.60084362,B,0.94,DECaLS,SER,,skip,126720
DESI-016.3753-14.5054,16.37531295,-14.50539386,B,0.87,DECaLS,REX,,skip,126720
DESI-016.4156-39.6571,16.4186,-39.6572,B,1.0,DECaLS,SER,i,ok,126720
DESI-016.4931-34.2383,16.49308262,-34.23827684,B,0.49,DECaLS,SER,v,skip,126720
DESI-017.3929-42.4210,17.39288735,-42.4210404,B,1.0,DECaLS,SER,,skip,126720
DESI-017.5445-57.6309,17.54449352,-57.63086421,B,0.71,DECaLS,SER,,skip,126720
DESI-017.8291-13.6739,17.82908486,-13.6739489,B,0.98,DECaLS,DEV,,skip,126720
DESI-018.5321-50.3242,18.5302,-50.3249,B,1.0,DECaLS,DEV,,skip,126720
DESI-018.7264-61.6590,18.726406,-61.65904065,B,1.0,DECaLS,DEV,,skip,126720
DESI-019.1548-10.8077,19.15477558,-10.80774991,B,0.98,DECaLS,SER,,skip,126720
DESI-019.6804-06.9332,19.68040655,-6.933202871,B,0.99,DECaLS,REX,,skip,126720
DESI-020.0057-44.5344,20.00570717,-44.53441098,B,1.0,DECaLS,REX,,skip,126720
DESI-020.2084-10.9069,20.20842111,-10.9068837,B,0.99,DECaLS,SER,,skip,126720
DESI-020.3641-21.1743,20.3649,-21.1749,B,0.98,DECaLS,SER,,skip,126720
DESI-020.4663-18.1241,20.46633246,-18.12410517,B,1.0,DECaLS,DEV,,skip,126720
DESI-020.6137-36.9074,20.61367331,-36.90740852,B,0.99,DECaLS,SER,i,skip,126720
DESI-020.7183-18.2466,20.71832624,-18.24664809,B,0.99,DECaLS,REX,,skip,126720
DESI-020.8675-58.7780,20.86746108,-58.77798888,B,0.5,DECaLS,SER,,skip,126720
DESI-021.0585-40.2053,21.0585262,-40.20529605,B,0.58,DECaLS,SER,,skip,126720
DESI-021.3379-15.4238,21.3378748,-15.42383545,B,0.99,DECaLS,SER,,skip,126720
DESI-021.3608-49.6276,21.36081787,-49.62759522,B,0.89,DECaLS,REX,,skip,126720
DESI-021.8552-61.4857,21.85523923,-61.48572215,B,0.99,DECaLS,SER,,skip,126720
DESI-022.6104-15.3370,22.61042637,-15.33695806,B,1.0,DECaLS,SER,i n,skip,126720
DESI-022.6106-50.9562,22.61064986,-50.95617292,B,0.97,DECaLS,SER,,skip,126720
DESI-023.0060-62.5970,23.00604564,-62.59704784,B,0.48,DECaLS,DEV,,skip,126720
DESI-023.3332-50.1876,23.3331889,-50.18756756,B,0.97,DECaLS,SER,,skip,126720
DESI-023.6072-29.9479,23.60715012,-29.94792892,B,1.0,DECaLS,SER,,skip,126720
DESI-023.8283-41.4103,23.82827389,-41.41028905,B,0.94,DECaLS,SER,,skip,126720
DESI-023.9662-43.7481,23.9662,-43.7509,B,0.77,DECaLS,SER,,skip,126720
DESI-024.6132-16.7232,24.6132472,-16.72321381,B,0.73,DECaLS,SER,,skip,126720
DESI-025.4624-14.3101,25.46241713,-14.31014496,B,0.72,DECaLS,SER,v,skip,126720
DESI-025.7456-43.1447,25.74562929,-43.14473977,B,0.92,DECaLS,REX,,skip,126720
DESI-025.8061-24.4820,25.80610036,-24.48200917,B,0.87,DECaLS,SER,v,skip,126720
DESI-025.8740-60.0435,25.87401954,-60.04350325,B,0.75,DECaLS,REX,,skip,126720
DESI-025.9533+14.4620,25.95329036,14.46196944,B,0.72,DECaLS,SER,,skip,126720
DESI-025.9846-05.1947,25.98459996,-5.194663775,B,0.57,DECaLS,REX,,skip,126720
DESI-025.9958-47.0105,25.99584554,-47.01048027,B,1.0,DECaLS,SER,,skip,126720
DESI-026.1720+10.1413,26.17203751,10.14126219,B,0.69,DECaLS,SER,,skip,126720
DESI-026.2277+13.8050,26.2277122,13.80500592,B,0.64,DECaLS,DEV,,skip,126720
DESI-026.3283-29.0945,26.328333,-29.09445427,B,0.86,DECaLS,SER,,skip,126720
DESI-026.7007-42.6124,26.70070368,-42.61238783,B,0.99,DECaLS,SER,,skip,126720
DESI-026.7443-26.7713,26.74433034,-26.77129553,B,1.0,DECaLS,SER,s,skip,126720
DESI-026.8130-07.3700,26.81302739,-7.37003684,B,0.49,DECaLS,REX,,skip,126720
DESI-026.8229-21.1709,26.82287758,-21.17085696,B,1.0,DECaLS,SER,,skip,126720
DESI-026.8786-45.1263,26.87862275,-45.12631718,B,1.0,DECaLS,SER,v,skip,126720
DESI-027.0893-48.4949,27.08932632,-48.49488935,B,0.86,DECaLS,SER,,skip,126720
DESI-027.1563+22.5394,27.15629792,22.53936881,B,0.54,DECaLS,SER,,skip,126720
DESI-027.1864-08.7961,27.18644184,-8.796074352,B,0.87,DECaLS,SER,,skip,126720
DESI-027.2185-33.4750,27.21848298,-33.47496379,B,0.47,DECaLS,SER,,skip,126720
DESI-027.2877-02.0093,27.28768322,-2.009268963,B,0.59,DECaLS,SER,,skip,126720
DESI-027.6765-02.7018,27.6765268,-2.701816597,B,1.0,DECaLS,DEV,i,skip,126720
DESI-027.9509-32.6206,27.95093831,-32.62056508,B,0.97,DECaLS,EXP,s i,skip,126720
DESI-028.1080-57.0666,28.10799605,-57.06655706,B,1.0,DECaLS,DEV,,skip,126720
DESI-028.1443-28.8980,28.136,-28.8878,B,0.71,DECaLS,SER,,skip,126720
DESI-028.4748-32.5996,28.47482658,-32.59963343,B,1.0,DECaLS,DEV,v,skip,126720
DESI-028.6959-53.3246,28.69586845,-53.32455343,B,1.0,DECaLS,DEV,,skip,126720
DESI-029.0435-53.6636,29.04354498,-53.66362616,B,0.67,DECaLS,SER,,skip,126720
DESI-029.0755-01.1297,29.07551543,-1.129748802,B,0.67,DECaLS,SER,h k,skip,126720
DESI-029.1802+27.2365,29.18019005,27.23648726,B,0.87,DECaLS,SER,,skip,126720
DESI-029.3793+22.3156,29.37927811,22.31559146,B,0.71,DECaLS,SER,,skip,126720
DESI-029.3817-48.2971,29.38167718,-48.2970599,B,0.79,DECaLS,SER,,skip,126720
DESI-029.4679-53.1987,29.46793227,-53.19866529,B,0.44,DECaLS,SER,i,skip,126720
DESI-029.5420-36.3009,29.5419759,-36.30086872,B,0.98,DECaLS,SER,,skip,126720
DESI-029.5591+27.0668,29.55910472,27.0667542,B,1.0,DECaLS,DEV,v,skip,126720
DESI-029.8305-51.0191,29.83052468,-51.01913586,B,0.55,DECaLS,DEV,,skip,126720
DESI-029.9544+04.4724,29.95436471,4.472388154,B,1.0,DECaLS,REX,,skip,126720
DESI-030.0959+08.1024,30.09593269,8.102446993,B,0.58,DECaLS,SER,,skip,126720
DESI-030.5264-13.3131,30.52635206,-13.31309213,B,1.0,DECaLS,EXP,,skip,126720
DESI-030.8236-35.5156,30.82359869,-35.51560586,B,1.0,DECaLS,SER,v s,skip,126720
DESI-031.0849-54.0822,31.08489803,-54.08215229,B,0.69,DECaLS,SER,,skip,126720
