name,ra,dec,catalog,survey_key,p_meta
s_239208_2470,324.7048098405865,-16.321854678201134,dr11,dr11,0.84188986
s_504880_4027,152.07629790922485,31.70046715146184,dr11,dr11,0.8415484
s_73880_3575,75.27790856934541,-50.9131241586775,dr11,dr11,0.8409834
s_320069_792,305.26297533260305,-1.937790653456136,dr11,dr11,0.8408218
s_280793_8827,166.8513527430954,-8.704361819305822,dr11,dr11,0.8402477
s_117855_2208,286.5335375698004,-40.24970959351897,dr11,dr11,0.8401324
s_158079_9301,77.82019567949499,-31.57560413027556,dr11,dr11,0.83999527
s_90804_9850,3.928367984450846,-46.60307246742634,dr11,dr11,0.83999527
s_208144_1255,40.866672568495495,-21.700530226235767,dr11,dr11,0.83978605
s_38835_314,56.65429950531325,-61.97923212390111,dr11,dr11,0.83944273
s_280236_3353,25.86232399459209,-8.83927067550732,dr11,dr11,0.8394086
s_365726_1734,209.94739679613937,6.066805291686613,dr11,dr11,0.8391261
s_137518_1133,31.35876681240539,-35.66317638998012,dr11,dr11,0.83911484
s_353585_141,45.82218824397957,3.9613097421620576,dr11,dr11,0.8389967
s_304994_4662,133.55309005978958,-4.402561717012598,dr11,dr11,0.8387436
s_466576_4566,121.6738339962061,24.355680296552848,dr11,dr11,0.8386757
s_412701_1124,258.8922579238124,14.2566559836886,dr11,dr11,0.8385522
s_384032_2232,143.3887173226898,9.321944732757943,dr11,dr11,0.8384396
s_243378_3831,326.5169878860748,-15.49639445874732,dr11,dr11,0.8382822
s_280264_9147,33.105098908179016,-8.86969872224337,dr11,dr11,0.8380281
s_498692_536,148.77166248102446,30.5418239674446,dr11,dr11,0.8378897
s_113631_4449,338.5893670104596,-41.177819587529925,dr11,dr11,0.83773863
s_230539_4159,222.0715291673003,-17.84887816968979,dr11,dr11,0.8373038
s_81254_12458,57.33133953770485,-48.9592228760168,dr11,dr11,0.8367479
s_130457_3389,357.3934267376907,-37.576505248274,dr11,dr11,0.83671737
s_127189_6698,47.335766199438936,-38.09604543106672,dr11,dr11,0.8360684
s_260341_325,9.97977687915724,-12.209696759270388,dr11,dr11,0.83574134
s_32666_3537,248.1383173821065,-64.6155338425161,dr11,dr11,0.8354066
s_401114_145,165.68756632362386,12.186350176266298,dr11,dr11,0.8351167
s_171849_5105,93.3018147446188,-28.821369470730254,dr11,dr11,0.8349085
s_73683_6069,357.37534117117247,-51.22755237913434,dr11,dr11,0.83485305
s_441355_1188,177.1380728666007,19.50087773853335,dr11,dr11,0.8343629
s_253079_8890,309.0763000818176,-13.62541087947345,dr11,dr11,0.8342823
s_329032_842,26.01675996647185,-0.12956915176671,dr11,dr11,0.8340679
s_60635_2284,357.90866512097915,-54.88169079115094,dr11,dr11,0.8337074
s_495714_5315,9.49849783319748,29.884476185718437,dr11,dr11,0.83272225
s_410935_2097,164.12043906853722,14.060582993177771,dr11,dr11,0.8317151
s_316463_427,123.75920395761086,-2.533974849437303,dr11,dr11,0.82976526
s_427619_1123,167.51726145001436,16.89222844504885,dr11,dr11,0.829646
