[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest_mix.jsonl
[data] 1137 healpix records
[data] healpix split: 1080 train, 57 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 266658 z values, min=-0.0019 max=5.3572
[step   3700] loss=169.4833 z_loss=3.295 spec_loss=1.489 z_acc=0.182 spec_acc=0.581 masked_acc=0.580 rz_masked_acc=0.182 mask_r2=0.805 mask_auc=nan all_r2=0.805 all_auc=nan 0.4 step/s
[step   3800] loss=188.0811 z_loss=3.663 spec_loss=1.237 z_acc=0.095 spec_acc=0.669 masked_acc=0.663 rz_masked_acc=0.000 mask_r2=0.834 mask_auc=nan all_r2=0.838 all_auc=nan 0.4 step/s
[step   3900] loss=179.7526 z_loss=3.496 spec_loss=1.438 z_acc=0.296 spec_acc=0.595 masked_acc=0.597 rz_masked_acc=0.278 mask_r2=0.812 mask_auc=nan all_r2=0.812 all_auc=nan 0.4 step/s
[step   4000] loss=157.7194 z_loss=3.060 spec_loss=1.569 z_acc=0.185 spec_acc=0.557 masked_acc=0.566 rz_masked_acc=0.000 mask_r2=0.798 mask_auc=nan all_r2=0.794 all_auc=nan 0.4 step/s
[val     4000] loss=225.5049 overall_acc=0.3753 redshift_acc=0.0231 spectrum_acc=0.3766 loss_redshift=4.3764 loss_spectrum=2.3519 loss_total=2.3593 masked_spec_acc=0.3740 redshift_acc_masked=0.0160 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=225.5049 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_mix/best.pt
  [ar_best   4000] ar_redshift_acc=0.017699115044247787 ar_spectrum_acc=0.16170702453888294 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=226
[step   4100] loss=208.3035 z_loss=4.051 spec_loss=1.761 z_acc=0.136 spec_acc=0.509 masked_acc=0.500 rz_masked_acc=0.091 mask_r2=0.763 mask_auc=nan all_r2=0.769 all_auc=nan 0.3 step/s
[step   4200] loss=203.1719 z_loss=3.947 spec_loss=1.936 z_acc=0.174 spec_acc=0.480 masked_acc=0.484 rz_masked_acc=0.000 mask_r2=0.746 mask_auc=nan all_r2=0.746 all_auc=nan 0.3 step/s
[step   4300] loss=160.5602 z_loss=3.119 spec_loss=1.545 z_acc=0.286 spec_acc=0.587 masked_acc=0.582 rz_masked_acc=0.000 mask_r2=0.797 mask_auc=nan all_r2=0.797 all_auc=nan 0.4 step/s
[step   4400] loss=151.7242 z_loss=2.954 spec_loss=1.137 z_acc=0.250 spec_acc=0.693 masked_acc=0.693 rz_masked_acc=0.167 mask_r2=0.850 mask_auc=nan all_r2=0.851 all_auc=nan 0.4 step/s
[step   4500] loss=199.0769 z_loss=3.869 spec_loss=1.764 z_acc=0.050 spec_acc=0.537 masked_acc=0.529 rz_masked_acc=0.000 mask_r2=0.762 mask_auc=nan all_r2=0.769 all_auc=nan 0.4 step/s
[val     4500] loss=219.0447 overall_acc=0.3788 redshift_acc=0.0602 spectrum_acc=0.3799 loss_redshift=4.2489 loss_spectrum=2.3500 loss_total=2.3570 masked_spec_acc=0.3799 redshift_acc_masked=0.0612 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=219.0447 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_mix/best.pt
  [ar_best   4500] ar_redshift_acc=0.02654867256637168 ar_spectrum_acc=0.09591883043210477 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=226
