[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest.jsonl
[data] 373 healpix records
[data] healpix split: 354 train, 19 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 265687 z values, min=-0.0019 max=5.6786
[val     2500] loss=228.1052 overall_acc=0.3993 redshift_acc=0.0365 spectrum_acc=0.4006 loss_redshift=4.4295 loss_spectrum=2.2044 loss_total=2.2126 masked_spec_acc=0.3980 redshift_acc_masked=0.0177 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=228.1052 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_xlarge_seed12345/best.pt
  [ar_best   2500] ar_redshift_acc=0.015306122448979591 ar_spectrum_acc=0.1239627719219556 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=196
  ckpt -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_xlarge_seed12345/step_00002500.pt
[step   2600] loss=219.5125 z_loss=4.257 spec_loss=2.350 z_acc=0.045 spec_acc=0.351 masked_acc=0.345 rz_masked_acc=0.000 mask_r2=0.688 mask_auc=nan all_r2=0.692 all_auc=nan 0.4 step/s
[step   2700] loss=226.0404 z_loss=4.383 spec_loss=2.410 z_acc=0.050 spec_acc=0.346 masked_acc=0.339 rz_masked_acc=0.000 mask_r2=0.685 mask_auc=nan all_r2=0.684 all_auc=nan 0.4 step/s
[step   2800] loss=230.9301 z_loss=4.485 spec_loss=2.276 z_acc=0.000 spec_acc=0.383 masked_acc=0.375 rz_masked_acc=0.000 mask_r2=0.700 mask_auc=nan all_r2=0.702 all_auc=nan 0.5 step/s
[step   2900] loss=238.5100 z_loss=4.633 spec_loss=2.205 z_acc=0.045 spec_acc=0.398 masked_acc=0.400 rz_masked_acc=0.091 mask_r2=0.711 mask_auc=nan all_r2=0.711 all_auc=nan 0.5 step/s
[step   3000] loss=235.2851 z_loss=4.568 spec_loss=2.360 z_acc=0.000 spec_acc=0.345 masked_acc=0.336 rz_masked_acc=0.000 mask_r2=0.691 mask_auc=nan all_r2=0.691 all_auc=nan 0.5 step/s
[val     3000] loss=227.3187 overall_acc=0.4093 redshift_acc=0.0159 spectrum_acc=0.4108 loss_redshift=4.4159 loss_spectrum=2.1535 loss_total=2.1618 masked_spec_acc=0.4087 redshift_acc_masked=0.0137 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=227.3187 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_xlarge_seed12345/best.pt
  [ar_best   3000] ar_redshift_acc=0.015306122448979591 ar_spectrum_acc=0.1621252896763101 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=196
[step   3100] loss=223.3714 z_loss=4.333 spec_loss=2.255 z_acc=0.056 spec_acc=0.378 masked_acc=0.382 rz_masked_acc=0.000 mask_r2=0.707 mask_auc=nan all_r2=0.704 all_auc=nan 0.4 step/s
[step   3200] loss=238.2141 z_loss=4.627 spec_loss=2.279 z_acc=0.000 spec_acc=0.376 masked_acc=0.358 rz_masked_acc=0.000 mask_r2=0.692 mask_auc=nan all_r2=0.701 all_auc=nan 0.4 step/s
[step   3300] loss=251.0626 z_loss=4.880 spec_loss=2.252 z_acc=0.000 spec_acc=0.394 masked_acc=0.390 rz_masked_acc=0.000 mask_r2=0.701 mask_auc=nan all_r2=0.705 all_auc=nan 0.4 step/s
[step   3400] loss=232.0142 z_loss=4.507 spec_loss=2.233 z_acc=0.000 spec_acc=0.375 masked_acc=0.383 rz_masked_acc=0.000 mask_r2=0.709 mask_auc=nan all_r2=0.707 all_auc=nan 0.4 step/s
[step   3500] loss=260.8510 z_loss=5.074 spec_loss=2.167 z_acc=0.000 spec_acc=0.397 masked_acc=0.402 rz_masked_acc=0.000 mask_r2=0.717 mask_auc=nan all_r2=0.716 all_auc=nan 0.5 step/s
[val     3500] loss=227.2352 overall_acc=0.4137 redshift_acc=0.0261 spectrum_acc=0.4151 loss_redshift=4.4127 loss_spectrum=2.1315 loss_total=2.1398 masked_spec_acc=0.4131 redshift_acc_masked=0.0251 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=227.2352 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_xlarge_seed12345/best.pt
  [ar_best   3500] ar_redshift_acc=0.0 ar_spectrum_acc=0.1597705016072363 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=196
