row_id,ra,dec,score,in_neuralens_l18,in_neuralens_shielded,in_huang2020,in_huang2021,in_hsu2025,in_any
330237_4562,327.31380881595555,-0.21434797212903564,0.9995657801628113,False,False,False,False,False,False
122758_435,74.01829758699697,-39.11027588891832,0.9995649456977844,False,False,False,False,False,False
167952_3045,59.28105851393515,-29.53632142251938,0.9995647072792053,False,False,False,False,False,False
210858_1772,49.42394192236975,-21.305011053326282,0.9995644688606262,False,True,False,True,False,True
301673_7011,20.859021875088544,-4.88875943967584,0.9995643496513367,False,False,False,False,False,False
140961_3143,6.009385085509296,-34.992612023418815,0.9995641112327576,False,False,False,False,False,False
327652_1522,41.09892118095833,-0.5786276869112287,0.9995638728141785,False,False,False,False,False,False
34720_1393,334.23149773817323,-63.821034038202605,0.9995633959770203,False,False,False,False,False,False
83930_2925,348.28465709962916,-48.50163866850241,0.9995627999305725,False,False,False,False,False,False
127267_3758,72.01073353379158,-38.01180773929722,0.9995617270469666,False,False,False,False,False,False
399907_3947,217.47836418683733,12.043286154574295,0.999561607837677,False,False,True,False,False,True
204103_5073,31.227810032798615,-22.462011277221897,0.9995611310005188,False,False,False,False,False,False
166631_1851,39.536839143908615,-29.817021990156707,0.999560534954071,False,False,False,False,False,False
403392_2664,28.293489645097754,12.798196677305242,0.999560534954071,False,False,False,False,False,False
218827_5826,14.686541527489432,-19.690258184027254,0.9995602965354919,False,False,False,False,False,False
206780_2984,33.94036994324249,-22.034590254951922,0.9995601773262024,False,False,False,False,False,False
370106_3969,230.97230486637315,6.826979571471755,0.9995599389076233,False,False,False,False,False,False
345777_740,252.27202829179916,2.399282353623979,0.999559223651886,True,False,False,True,False,True
321862_2582,33.6856551094019,-1.5494536464353734,0.9995583891868591,False,False,False,False,False,False
192269_3827,44.96122255512959,-24.755625436815965,0.9995575547218323,False,False,False,False,False,False
187097_3057,56.84525474505684,-25.78249575521671,0.9995574355125427,False,False,False,False,False,False
401114_1307,165.68814371433356,12.185770996281713,0.9995564818382263,False,False,True,False,False,True
242211_5520,24.24552217835678,-15.44722172529281,0.9995564818382263,False,False,False,False,False,False
382696_630,165.47463211254825,8.91185025463042,0.9995560050010681,False,False,False,False,False,False
198924_3045,66.16282175018566,-23.52601204514846,0.9995558857917786,False,False,False,False,False,False
547779_4851,128.80484947191098,41.1131405428269,0.9995556473731995,True,False,False,True,False,True
431743_1072,165.92572630642118,17.691493926350947,0.9995548129081726,False,False,False,False,False,False
94702_6361,325.1075702857377,-45.63386263175974,0.9995546936988831,False,False,False,False,False,False
147103_3641,63.970143395428224,-33.74505560906972,0.9995546936988831,False,False,False,False,False,False
593658_1215,285.9297494582956,52.418238761799415,0.9995545744895935,False,True,False,True,False,True
88803_6412,354.5866333119113,-47.13387685122939,0.9995540976524353,False,False,False,False,False,False
260516_2327,54.77878008853529,-12.287907280185744,0.9995536208152771,False,True,False,True,False,True
339106_2247,24.645008826052656,1.4527615355877324,0.9995535016059875,False,False,False,False,False,False
455598_337,20.540569916916603,22.149424846457197,0.9995532631874084,False,False,False,False,False,False
38782_4987,28.872397566900336,-61.9673379871751,0.9995531439781189,False,False,False,False,False,False
533248_270,123.7049466368755,37.68807282583203,0.9995531439781189,False,False,False,False,False,False
197648_6230,78.03700005450844,-23.688154910091495,0.9995526671409607,False,False,False,False,False,False
243629_24,31.405500275952495,-15.370053085767488,0.9995525479316711,False,False,False,False,False,False
290251_5020,31.700378446306246,-6.944064883987152,0.9995525479316711,False,False,False,False,False,False
136288_3033,12.53489532747892,-36.01986412648531,0.999552309513092,False,False,False,False,False,False
326213_5307,41.362247382893,-0.7110656003038381,0.999552309513092,False,False,False,False,False,False
568696_582,112.06021922942595,45.94755029136172,0.9995518326759338,False,False,False,False,False,False
99789_7328,318.6317477906312,-44.37888268770629,0.9995515942573547,False,False,False,False,False,False
181831_152,30.47369448072122,-26.86796474522462,0.9995515942573547,False,False,False,False,False,False
202731_7889,19.82520957586932,-22.63559529431057,0.9995514750480652,True,False,False,True,False,True
40135_4491,21.85523044784764,-61.485724248485624,0.9995511174201965,False,False,False,False,False,False
589661_2376,108.46957749811821,51.516821529948565,0.9995508790016174,False,False,False,False,False,False
223124_8661,71.80794131834733,-18.88716168096046,0.9995506405830383,False,False,False,False,False,False
473414_306,202.55526635954521,25.393345111851346,0.9995506405830383,False,False,False,False,False,False
500733_1915,20.79597254454638,30.961886971288692,0.9995504021644592,True,False,False,True,False,True
337081_438,238.49727165400603,0.8926318364257154,0.9995500445365906,False,False,False,False,False,False
356078_4221,310.1046706412315,4.261152601236293,0.9995494484901428,False,False,False,False,False,False
508777_2132,219.83274251799193,32.506733800038546,0.9995482563972473,False,False,False,False,False,False
257625_5448,35.13228142286221,-12.686692380067734,0.9995481371879578,False,False,False,False,False,False
301658_5643,17.29454940337407,-4.919515640253065,0.9995476603507996,False,False,False,False,False,False
222921_4316,18.403950137064136,-18.99417101253696,0.9995467066764832,False,False,True,False,False,True
108583_5649,93.28147320745981,-42.14078801616026,0.9995465874671936,False,False,False,False,False,False
109312_1986,338.77140040498386,-42.29728607359591,0.999546229839325,False,False,False,False,False,False
573042_3643,244.72418402016058,47.1047636001068,0.9995453953742981,False,False,False,False,False,False
483464_234,124.31481742425689,27.402724714376603,0.9995447993278503,False,False,False,False,False,False
552464_102,247.45145455358943,41.89138249089172,0.9995445609092712,False,False,False,False,False,False
164068_95,20.502545308862803,-30.36386219579272,0.9995443224906921,False,False,False,False,False,False
189702_3003,57.485629370596534,-25.28540891564763,0.9995438456535339,False,False,False,False,False,False
438869_4146,240.04946975808417,19.072638053127868,0.9995437264442444,False,False,False,False,False,False
430242_2101,133.15501771165722,17.4985787921559,0.9995436072349548,False,False,False,False,False,False
512218_3654,161.86082079746592,33.32531163152793,0.999543309211731,False,False,False,False,False,False
238020_683,15.741019564722654,-16.349137222786446,0.999543309211731,False,False,False,False,False,False
202756_5875,26.748993500420998,-22.68200050712516,0.9995431900024414,False,True,False,True,False,True
648351_464,203.71786594221058,73.44187884450511,0.9995430707931519,False,False,False,False,False,False
342020_0,33.12533920060573,1.876863527734914,0.9995427131652832,False,False,False,False,False,False
231282_1948,56.57047955110984,-17.559857401493833,0.9995425939559937,False,False,False,False,False,False
483668_4217,181.944136401805,27.61426263887253,0.9995424747467041,False,False,True,False,False,True
367291_3541,243.18672719216457,6.2923440971361755,0.9995424747467041,False,False,False,False,False,False
547851_2504,152.27505040022027,41.045348205567876,0.999542236328125,False,False,False,False,False,False
140009_2019,75.15711421403991,-35.30618202283957,0.9995416402816772,False,False,False,False,False,False
212136_6436,31.5915013978061,-20.905647579100965,0.9995415210723877,False,False,False,False,False,False
34797_1494,17.320800629795897,-63.57690308815632,0.9995405673980713,False,False,False,False,False,False
264710_4664,45.43855401213492,-11.471855780737117,0.9995399713516235,False,False,False,False,False,False
361279_165,173.77573382589463,5.13610382795226,0.999539852142334,False,False,False,False,False,False
307465_1860,32.314678703684265,-4.0695966858202715,0.9995397329330444,False,False,False,False,False,False
181809_4324,24.493558996981267,-26.716180031756767,0.9995394945144653,False,False,False,False,False,False
323050_6156,330.56727772836734,-1.418124306239328,0.9995393753051758,False,False,False,False,False,False
645380_1626,255.9769502641985,71.78913312486634,0.9995393753051758,False,False,False,False,False,False
499822_2954,116.35109785604193,30.767267935684828,0.9995385408401489,False,False,False,False,False,False
358522_928,202.66903690033507,4.670747781429487,0.9995368719100952,False,False,True,False,False,True
297978_4112,173.78208787298144,-5.661130874641642,0.9995367527008057,False,False,False,False,False,False
148279_3492,56.755733130868286,-33.51684574893197,0.9995365142822266,False,False,False,False,False,False
164134_2293,39.35038022051406,-30.285875387102738,0.9995362758636475,False,False,False,False,False,False
310344_2053,33.27054481153105,-3.5573024972332554,0.9995361566543579,False,False,False,False,False,False
290257_6856,33.007113730000995,-6.8755593389038,0.9995356798171997,False,False,False,False,False,False
150595_4322,28.318028952552954,-32.95990031676799,0.9995354413986206,False,False,False,False,False,False
135140_1753,17.544871941271214,-36.31584759160631,0.999535083770752,False,False,False,False,False,False
145894_1102,60.48213033622424,-34.08914599447363,0.9995348453521729,False,False,False,False,False,False
184596_6469,81.92610477642334,-26.167526587443252,0.9995348453521729,False,False,False,False,False,False
175395_4067,20.135063388924966,-27.982569135885615,0.9995346069335938,False,False,False,False,False,False
421987_794,140.53217565978238,15.919992095387283,0.9995338916778564,False,False,False,False,False,False
116899_1660,334.3015370276363,-40.55974125662007,0.9995335340499878,False,False,False,False,False,False
508777_2129,219.83016025603254,32.50549733511847,0.9995332956314087,False,False,False,False,False,False
295656_6195,310.80194566306494,-6.164936315956386,0.9995331764221191,True,False,False,True,False,True
151843_5802,39.46942325127669,-32.63209784771543,0.99953293800354,False,False,False,False,False,False
273202_4749,44.764512507433075,-9.94692415131491,0.9995325803756714,False,False,False,False,False,False
179267_4247,31.86160521063308,-27.228628186813243,0.9995323419570923,True,False,False,True,False,True
362983_1733,241.32947227518392,5.440342765524882,0.9995315074920654,False,False,False,False,False,False
293751_2660,192.02423336829074,-6.517518271767166,0.9995311498641968,False,False,True,False,False,True
464276_1219,213.310102155436,23.700123770812827,0.9995300769805908,False,False,False,False,False,False
288845_4550,37.712298579555465,-7.226640837683827,0.9995300769805908,False,False,False,False,False,False
478354_4123,133.94952272077185,26.58070366973282,0.9995297193527222,False,False,False,False,False,False
92723_2508,336.68566748575523,-46.286988243440476,0.9995297193527222,False,False,False,False,False,False
224481_794,70.02816637589339,-18.85039163755996,0.9995294809341431,False,False,False,False,False,False
280131_3353,359.45995859553466,-8.950292060046204,0.999529242515564,False,False,False,False,False,False
452198_2630,186.72485058771812,21.486216586689288,0.9995288848876953,False,False,False,False,False,False
181882_41,44.98569193686305,-26.8724439555751,0.9995278120040894,True,False,False,True,False,True
254889_6267,53.625439080862854,-13.186557221462376,0.9995276927947998,True,False,False,True,False,True
354639_6629,309.874512039521,4.065987794651753,0.9995272159576416,False,False,False,False,False,False
219052_7483,74.24911446544344,-19.627699426364384,0.9995272159576416,False,False,False,False,False,False
450158_2948,0.037553328957723765,21.283464605283356,0.9995272159576416,True,False,False,True,False,True
337747_240,44.98114490767791,1.1386987916964544,0.9995269775390625,True,False,False,True,False,True
422911_2902,20.612999729253765,16.28889439245808,0.999526858329773,False,False,False,False,False,False
100817_4756,316.52842198647096,-44.19737413070428,0.9995266199111938,False,False,False,False,False,False
178029_2817,43.791245003626905,-27.53516895628301,0.9995262622833252,False,False,False,False,False,False
442937_1037,236.21671668381993,19.678438385241233,0.9995261430740356,False,False,False,False,False,False
35311_4374,304.10797861592937,-63.43554996634164,0.9995260238647461,False,False,False,False,False,False
212103_898,22.754500696014606,-21.09373713881098,0.9995259046554565,False,False,False,False,False,False
418181_77,234.14907714897456,15.135887177637226,0.9995254278182983,False,False,False,False,False,False
202790_1940,35.79460283770801,-22.804868787906862,0.9995243549346924,True,False,False,True,False,True
164045_3517,13.809040927943322,-30.2518167421485,0.9995239973068237,False,False,False,False,False,False
317281_1486,328.3209373785006,-2.567797699423088,0.9995237588882446,False,False,False,False,False,False
503884_3396,220.28193048219697,31.54433103168311,0.9995229244232178,False,False,False,False,False,False
399650_2958,151.872409598057,12.05224237589272,0.9995226860046387,False,False,False,False,False,False
353448_4065,11.647630413763638,4.017641750956098,0.9995224475860596,False,False,False,False,False,False
186995_704,28.784497325843905,-25.846337718880456,0.9995222091674805,True,False,False,True,False,True
364143_4213,172.6599022085273,5.820581772584171,0.9995219707489014,False,False,False,False,False,False
599691_1652,287.249490759558,54.20057788947216,0.9995218515396118,False,False,False,False,False,False
510029_3084,230.53210357835385,32.85376843068202,0.9995214939117432,True,False,False,True,False,True
635005_275,176.02457741703415,66.74133424302643,0.9995213747024536,False,False,False,False,False,False
414089_1871,256.5917828803811,14.454809250484239,0.999521017074585,False,False,False,False,False,False
375610_119,176.6544172861993,7.632393708663091,0.9995208978652954,False,False,False,False,False,False
283078_2384,23.903803980823213,-8.305884091636244,0.9995207786560059,False,False,False,False,False,False
227010_347,15.845275858718797,-18.36126369032781,0.9995206594467163,True,False,False,True,False,True
277922_4049,160.75454332691484,-9.209014743727643,0.999519944190979,False,False,False,False,False,False
185826_2434,63.96215615801615,-26.042633708083937,0.9995193481445312,False,False,False,False,False,False
379900_4653,178.76009594309286,8.623235204353232,0.9995189905166626,False,False,False,False,False,False
139885_4714,37.034852487665106,-35.18993640109038,0.9995179176330566,False,False,False,False,False,False
395394_4445,146.88880296927988,11.37415347803568,0.9995177984237671,False,False,False,False,False,False
270227_4665,9.450164419678854,-10.410841910499867,0.9995176792144775,False,False,False,False,False,False
217672_3540,68.10223672757805,-20.003804040132632,0.9995176792144775,True,False,False,True,False,True
157847_3156,9.773539523400126,-31.508172258315902,0.999517560005188,False,False,False,False,False,False
95832_3429,7.25730517467723,-45.163417784855206,0.9995169639587402,False,False,False,False,False,False
339666_1337,164.61532066357958,1.4542001916080018,0.9995167255401611,False,False,False,False,False,False
165554_6938,89.31974494086492,-29.90759510732712,0.9995154142379761,False,False,False,False,False,False
162999_6177,71.00355002478844,-30.3862829005487,0.9995149374008179,False,False,False,False,False,False
413942_1266,218.91556247716906,14.441282971821554,0.9995146989822388,False,False,False,False,False,False
406829_220,189.20801149091713,13.16310114730295,0.9995144605636597,False,False,False,False,False,False
216282_383,58.53158133071881,-20.360309778146508,0.9995143413543701,False,False,False,False,False,False
161637_1572,35.7550868640355,-30.80950466356912,0.9995138645172119,False,False,False,False,False,False
368444_3840,173.14428718344638,6.559512169019767,0.9995137453079224,False,False,False,False,False,False
568696_805,112.07402855104202,46.04902202659553,0.9995124340057373,False,False,False,False,False,False
235287_367,23.4229524186456,-16.84008743147692,0.9995123147964478,True,False,False,True,False,True
132979_988,65.87302332866825,-36.83945385182943,0.9995121955871582,False,False,False,False,False,False
