name,RA,DEC,grade,score,resnet_model,region,probability,tractor_type,spec_z,photo_z,score_l18,sep_l18,in_parent_l18,score_shielded,sep_shielded,in_parent_shielded,in_training,score_combined,in_parent_combined
DESI-032.4765-35.7990,32.4765,-35.799,A,4.0,shielded,DECaLS,0.98,REX,,0.380+/-0.076,0.9995655417442322,0.12039566652406654,True,0.9942014813423157,0.12039566652406654,True,False,0.9995655417442322,True
DESI-034.2366-59.8485,34.2366,-59.8485,A,4.0,shielded,DECaLS,0.66,REX,,0.498+/-0.017,0.8034574389457703,0.2286057914129894,True,0.9940138459205627,0.2286057914129894,True,False,0.9940138459205627,True
DESI-035.2405-38.5511,35.2405,-38.5511,A,4.0,shielded,DECaLS,0.45,REX,,0.407+/-0.038,0.9990445971488953,0.6030032449246483,True,0.9725248217582703,0.6030032449246483,True,False,0.9990445971488953,True
DESI-035.7946-22.8049,35.7946,-22.8049,A,3.5,l18,DECaLS,1.0,DC,,0.890+/-0.048,0.9998761415481567,0.11275747175111363,True,0.9995243549346924,0.11275747175111363,True,True,0.9998761415481567,True
DESI-036.2340+08.8300,36.234,8.83,A,4.0,l18,DECaLS,1.0,DC,,0.326+/-0.035,0.9999748468399048,0.11282377750387945,True,0.9996278285980225,0.11282377750387945,True,True,0.9999748468399048,True
DESI-036.8326-24.1921,36.8326,-24.1921,A,3.5,shielded,DECaLS,0.39,REX,,0.405+/-0.022,0.9790638089179993,3.3575542613606912,True,0.9877873063087463,3.3575542613606912,True,False,0.9877873063087463,True
DESI-037.0621-29.3949,37.0621,-29.3949,A,3.5,l18,DECaLS,0.93,DC,,0.312+/-0.013,0.9995470643043518,0.18602250142240753,True,0.9956449270248413,0.18602250142240753,True,True,0.9995470643043518,True
DESI-037.4837-31.1730,37.4837,-31.173,A,3.5,l18,DECaLS,0.99,DC,,0.466+/-0.075,0.9988653659820557,0.09977405862732576,True,0.9952174425125122,0.09977405862732576,True,True,0.9988653659820557,True
DESI-038.0264-35.4899,38.0264,-35.4899,A,3.5,l18,DECaLS,1.0,REX,,0.550+/-0.097,0.04425041005015373,10.888172157966721,False,0.00947218295186758,10.888172157966721,False,True,0.04425041005015373,False
DESI-038.8136-21.5095,38.8136,-21.5095,A,4.0,shielded,DECaLS,0.94,REX,,0.328+/-0.035,0.9912283420562744,0.4425354156526764,True,0.9925442934036255,0.4425354156526764,True,False,0.9925442934036255,True
DESI-040.2205-05.8472,40.2205,-5.8472,A,3.5,l18,DECaLS,0.97,DC,0.5238,,0.9998544454574585,0.05822848088123973,True,0.9992548823356628,0.05822848088123973,True,True,0.9998544454574585,True
DESI-040.5664-25.1054,40.5664,-25.1054,A,4.0,shielded,DECaLS,0.82,REX,,0.325+/-0.045,0.9997658133506775,0.34979285328092313,True,0.9989299178123474,0.34979285328092313,True,False,0.9997658133506775,True
DESI-040.7627-00.1001,40.7627,-0.1001,A,3.5,l18,DECaLS,1.0,DC,0.4127,,0.08260589092969894,0.019987049661157746,True,0.8882433176040649,0.019987049661157746,True,True,0.8882433176040649,True
DESI-041.7608+03.9333,41.7608,3.9333,A,4.0,shielded,DECaLS,0.3,DC,0.2603,,0.9693315625190735,0.17015945150311146,True,0.9446704983711243,0.17015945150311146,True,False,0.9693315625190735,True
DESI-042.0371-02.2771,42.0371,-2.2771,A,3.5,l18,DECaLS,0.93,REX,,0.247+/-0.018,0.9993569254875183,8.365085561220653,False,0.9952055215835571,8.365085561220653,False,True,0.9993569254875183,False
DESI-043.1867-13.2239,43.1867,-13.2239,A,3.5,shielded,DECaLS,0.67,REX,,0.431+/-0.033,0.9869769215583801,0.2154592770634172,True,0.9870391488075256,0.2154592770634172,True,False,0.9870391488075256,True
DESI-043.5347-28.7960,43.5347,-28.796,A,4.0,l18,DECaLS,0.93,DC,,0.632+/-0.021,0.990100085735321,0.12356095311272679,True,0.9872021079063416,0.12356095311272679,True,True,0.990100085735321,True
DESI-043.6660-04.3071,43.666,-4.3071,A,3.5,l18,DECaLS,1.0,DC,0.288,,0.9998387098312378,0.03538716832399102,True,0.9989650249481201,0.03538716832399102,True,True,0.9998387098312378,True
DESI-044.4121-22.1575,44.4121,-22.1575,A,3.5,shielded,DECaLS,0.46,DC,,0.484+/-0.070,0.060364387929439545,0.19575755582135385,True,0.027234887704253197,0.19575755582135385,True,False,0.060364387929439545,True
