unit_id,candidate_id,alias_ids,system_id,ra_deg,dec_deg,stratum,substratum,pipe_grade_passcount,pipe_inspector_conf,pipe_score,center_galaxy_type,rank_top100,prior_exposure,lit_known,layout,cowls_ranking,cowls_theta_E,known_lens_name,known_type,known_sep_arcsec,desi_pool_overlap,desi_pool_split,sw_obs,lw_obs,sw_filter,lw_filter,proposal,field_id
u0058,J2994382-883235,,58,29.9438192199651,-8.832354034072008,D_refuted,ring_spiral,D,40.0,0.3597321139350582,ring,,0,False,color,,,,,,False,,jw06882-o061_t009_nircam_clear-f150w,jw06882-o061_t009_nircam_clear-f277w,F150W,F277W,6882,167
u0059,J803198+1811354,,59,8.031975916986372,18.11354096514257,L_known,pipe_U,U,15.0,1.1745698163739422,edge-on disk,,0,True,color,,,[DZR2017] MACS J0032-arc,SIMBAD:LeG,1.73,False,,jw06882-o003_t003_nircam_clear-f150w,jw06882-o003_t003_nircam_clear-f277w,F150W,F277W,6882,59
u0060,J4205283+264369,,60,42.0528277845843,2.643690510130554,T_U,,U,26.0,1.2536765969618393,s0,55,1,False,color,,,,,,False,,jw05594-o082_t084_nircam_clear-f150w2,jw05594-o082_t084_nircam_clear-f322w2,F150W2,F322W2,5594,318
u0061,J15010748+230270,,61,150.1074829093412,2.302696854862866,T_U,,U,27.0,1.2670859068724094,s0,38,1,False,color,,,,,,False,,jw01810-o001_t001_nircam_clear-f150w,jw01837-o003_t003_nircam_clear-f277w,F150W,F277W,1810,47
u0062,J15067092+210603,,62,150.6709225094973,2.106034358321853,T_U,,U,25.0,1.2527249181351767,s0,63,1,False,color,,,,,,False,,jw01635-o025_t003_nircam_clear-f150w2,jw01635-o025_t003_nircam_clear-f444w,F150W2,F444W,1635,476
u0063,J15055009+250185,,63,150.5500892598752,2.501846581829946,T_U,,U,28.0,1.2684041241947048,irregular,36,1,False,gray_sw_only,,,,,,False,,jw06480-o025_t025_nircam_clear-f090w,,F090W,,6480,516
u0064,J20948181-1096952,,64,209.4818060797643,-10.96951918749397,T_U,,U,25.0,1.2523755913400765,elliptical,67,1,False,gray_lw_only,,,,,,False,,,jw01568-o003_t002_nircam_clear-f322w2,,F322W2,1568,589
u0065,J8730424-6207661,,65,87.30424042109985,-62.07660865170828,D_refuted,elliptical_nearmiss,D,65.0,0.6090888337210453,elliptical,,0,False,color,,,,,,False,,jw05594-o045_t047_nircam_clear-f150w2,jw05594-o045_t047_nircam_clear-f322w2,F150W2,F322W2,5594,264
u0066,J15263251-1268419,,66,152.6325127958268,-12.68418569612639,N_unflagged,proposal_5594,,,,s0,,0,False,color,,,,,,False,,jw05594-o031_t033_nircam_clear-f150w2,jw05594-o031_t033_nircam_clear-f322w2,F150W2,F322W2,5594,276
u0067,J15049363+206401,,67,150.4936287834419,2.064010375815117,T_U,,U,27.0,1.2632655819205374,s0,43,1,False,color,,,,,,False,,jw01635-o026_t007_nircam_clear-f150w2,jw01635-o026_t007_nircam_clear-f444w,F150W2,F444W,1635,435
u0068,J15261689-1266966,,68,152.6168851309731,-12.66965932187284,T_U,,U,25.0,1.252857694263699,merger,62,1,False,color,,,,,,False,,jw05594-o031_t033_nircam_clear-f150w2,jw05594-o031_t033_nircam_clear-f322w2,F150W2,F322W2,5594,276
u0069,J6403415-2406677,,69,64.03414855638412,-24.0667743974585,T_verified,C,C,30.0,2.2876250490139367,elliptical,21,1,True,color,,,,,,False,,jw05890-o002_t002_nircam_clear-f150w,jw01208-o004_t002_nircam_clear-f277w,F150W,F277W,5890,148
u0070,J5282421-774282,,70,52.82421257210893,-7.742818672040358,T_U,,U,26.0,1.2585904730327984,merger,49,1,False,color,,,,,,False,,jw03954-o006_t006_nircam_clear-f150w,jw03954-o006_t006_nircam_clear-f277w,F150W,F277W,3954,720
u0071,J8732838-6207334,,71,87.32837537117886,-62.07334123507424,T_U,,U,25.0,1.2517396484743848,s0,76,1,False,color,,,,,,False,,jw05594-o045_t047_nircam_clear-f150w2,jw05594-o045_t047_nircam_clear-f322w2,F150W2,F322W2,5594,264
u0072,J15018209+211340,,72,150.1820906501962,2.113400741736567,D_refuted,other,D,30.0,0.2863516236800125,s0,,0,False,color,,,,,,False,,jw01727-o101_t101_nircam_clear-f150w,jw05893-o011_t011_nircam_clear-f356w,F150W,F356W,1727,47
u0073,J14995729+243834,,73,149.9572914554525,2.438337939714451,T_U,,U,25.0,1.2508210608430912,merger,91,1,False,color,,,,,,False,,jw01727-o045_t027_nircam_clear-f150w,jw01727-o045_t027_nircam_clear-f277w,F150W,F277W,1727,47
u0074,J3996679-159719,,74,39.96678710289662,-1.597192789192988,T_U,,U,28.0,1.275313278382166,spiral,25,1,True,color,,,,,,True,train,jw05890-o001_t001_nircam_clear-f150w,jw01208-o002_t001_nircam_clear-f277w,F150W,F277W,5890,68
u0075,J18031302+2310412,,75,180.3130196653021,23.10411895106457,D_refuted,merger,D,30.0,0.286958961285502,merger,,0,False,color,,,,,,False,,jw05594-o019_t021_nircam_clear-f150w2,jw05594-o019_t021_nircam_clear-f322w2,F150W2,F322W2,5594,236
u0076,J21518078+5278672,,76,215.18078179322788,52.786718778557194,T_U,,U,25.0,1.2511347805534965,irregular,86,1,False,color,,,,,,False,,jw06368-o060_t055_nircam_clear-f115w,jw06368-o060_t055_nircam_clear-f277w,F115W,F277W,6368,48
u0077,J9002960-2014057,,77,90.02960171446668,-20.14056566361329,T_U,,U,26.0,1.259642691018832,elliptical,46,1,False,color,,,,,,False,,jw01567-o004_t008_nircam_clear-f150w,jw06882-o024_t024_nircam_clear-f277w,F150W,F277W,1567,58
u0078,J32840780+1769774,,78,328.4077951323409,17.69773517372917,T_U,,U,25.0,1.251015897825734,merger,88,1,False,color,,,,,,False,,jw05594-o012_t014_nircam_clear-f150w2,jw05594-o012_t014_nircam_clear-f322w2,F150W2,F322W2,5594,298
u0079,J16644236-1024898,,79,166.4423644396571,-10.24897786988401,T_verified,B,B,35.0,3.324244005970459,elliptical,8,2,False,color,,,,,,False,,jw05594-o072_t074_nircam_clear-f150w2,jw05594-o072_t074_nircam_clear-f322w2,F150W2,F322W2,5594,235
u0080,J15048493+226744,,80,150.4849294883113,2.267443433947709,N_unflagged,proposal_1727,,,,elliptical,,0,False,color,,,,,,False,,jw01727-o075_t147_nircam_clear-f150w,jw01727-o075_t147_nircam_clear-f277w,F150W,F277W,1727,47
u0081,J5186322-1343964,,81,51.86322261681574,-13.43964190160108,L_known,pipe_U,U,25.0,1.2433051920621148,elliptical,,0,True,color,,,VIRTUAL PARENT RCS2 J032727-132623 gLS,SIMBAD:gLS,1.87,False,,jw05594-o086_t187_nircam_clear-f150w2,jw05594-o086_t187_nircam_clear-f322w2,F150W2,F322W2,5594,350
u0082,J34084513-960342,,82,340.8451298290557,-9.603419774065234,T_verified,B,B,75.0,3.683579799632911,elliptical,5,2,False,color,,,,,,False,,jw05594-o063_t065_nircam_clear-f150w2,jw05594-o063_t065_nircam_clear-f322w2,F150W2,F322W2,5594,336
u0083,J11084396-7342226,,83,110.8439599887481,-73.42225671082014,T_U,,U,25.0,1.2507799013249126,ambiguous,93,1,False,color,,,,,,False,,jw04043-o001_t001_nircam_clear-f115w,jw04043-o001_t001_nircam_clear-f444w,F115W,F444W,4043,153
u0084,J17769198-2805240,,84,177.6919798038281,-28.05239804281122,D_refuted,merger,D,30.0,0.2881178589469268,merger,,0,False,gray_sw_only,,,,,,False,,jw06882-o030_t031_nircam_clear-f150w,,F150W,,6882,72
u0085,J14991871+254823,,85,149.9187067410818,2.548234860740977,K_cowls,unflagged,,,,s0,,0,True,color,BBSSSS,1.165551135106829,COSJ095940+023253,COWLS,0.0058036168466241,False,,jw01727-o004_t010_nircam_clear-f150w,jw01727-o004_t010_nircam_clear-f277w,F150W,F277W,1727,47
u0086,J14980160+213082,,86,149.8015997697156,2.13081762064331,K_cowls,pipe_U,U,18.0,1.1573237812108406,edge-on disk,,0,True,color,AAABSS,0.9049612722247332,COSJ095912+020750,COWLS,0.0246969641816568,False,,jw01727-o080_t014_nircam_clear-f150w,jw01727-o080_t014_nircam_clear-f277w,F150W,F277W,1727,56
u0087,J14991319+251221,,87,149.9131929706377,2.512214966078626,K_cowls,pipe_U,U,20.0,1.2105388980370615,s0,,0,True,color,ABBUXX,1.983471497403669,COSJ095939+023043,COWLS,0.0260212998829526,False,,jw01727-o004_t010_nircam_clear-f150w,jw01727-o004_t010_nircam_clear-f277w,F150W,F277W,1727,47
u0088,J14987954+204155,,88,149.879539986246,2.041547916423178,L_known,pipe_D,D,45.0,0.3955766985895441,elliptical,,0,True,color,,,[FKC2008] COSMOS 5931+0229,SIMBAD:gLS,0.59,False,,jw01727-o123_t039_nircam_clear-f150w,jw01727-o123_t039_nircam_clear-f277w,F150W,F277W,1727,70
u0089,J18534294+1156810,,89,185.3429354095285,11.56809535937842,U_tail,rank_101_300,U,25.0,1.2462914172556658,ring,,0,False,color,,,,,,False,,jw07763-o025_t025_nircam_clear-f150w,jw07763-o025_t025_nircam_clear-f277w,F150W,F277W,7763,185
u0090,J9003772-2015513,,90,90.03772033342565,-20.15513428320984,T_U,,U,25.0,1.250873424081397,s0,89,1,False,color,,,,,,False,,jw06796-o010_t001_nircam_clear-f150w,jw06796-o010_t001_nircam_clear-f277w,F150W,F277W,6796,58
u0091,J14993798+260626,,91,149.9379802010104,2.606263411326252,K_cowls,pipe_U,U,20.0,1.2092613017550349,elliptical,,0,True,color,ABUXXX,0.4018357954972808,COSJ095945+023622,COWLS,0.0335334500778877,False,,jw01727-o003_t009_nircam_clear-f150w,jw01727-o003_t009_nircam_clear-f277w,F150W,F277W,1727,47
u0092,J20148881+4807960,,92,201.48881031979448,48.07959890117759,N_unflagged,proposal_6675,,,,compact,,0,False,gray_lw_only,,,,,,False,,,jw06675-o007_t008_nircam_clear-f444w,,F444W,6675,878
u0093,J6928514+070232,,93,69.28514337082932,0.7023240825144503,T_U,,U,25.0,1.25014585517492,elliptical,100,1,False,color,,,,,,False,,jw06207-o001_t001_nircam_clear-f200w,jw06207-o001_t001_nircam_clear-f277w,F200W,F277W,6207,890
u0094,J3807769-4433463,,94,38.07769031203738,-44.33463389813596,U_tail,rank_301_2024,U,20.0,1.1695456397099464,elliptical,,0,False,color,,,,,,False,,jw06882-o010_t010_nircam_clear-f150w,jw06882-o010_t010_nircam_clear-f277w,F150W,F277W,6882,177
u0095,J35128272-4120137,,95,351.2827208657205,-41.20137375728068,T_U,,U,26.0,1.250378099729644,elliptical,99,1,False,color,,,,,,False,,jw06882-o035_t062_nircam_clear-f150w,jw06882-o035_t062_nircam_clear-f277w,F150W,F277W,6882,26
u0096,J18939200+6216064,,96,189.39199759293837,62.16063825068543,T_U,,U,25.0,1.2503942614714554,merger,97,1,False,color,,,,,,False,,jw06434-c1033_t000_nircam_clear-f200w,jw06434-c1033_t000_nircam_clear-f444w,F200W,F444W,6434,67
u0097,J2995977-883239,,97,29.95976878686171,-8.832386035906191,N_unflagged,proposal_6882,,,,compact,,0,False,color,,,,,,False,,jw06882-o061_t009_nircam_clear-f150w,jw06882-o061_t009_nircam_clear-f277w,F150W,F277W,6882,167
u0098,J8999381-2012203,,98,89.99380529268703,-20.12203380593734,T_verified,C,C,72.0,2.6616373157627815,elliptical,11,2,False,color,,,,,,False,,jw06796-o010_t001_nircam_clear-f150w,jw06796-o010_t001_nircam_clear-f277w,F150W,F277W,6796,58
u0099,J32232919-763201,,99,322.3291912785429,-7.632011062034694,T_U,,U,28.0,1.270666480732791,ring,33,1,False,color,,,,,,False,,jw06882-o040_t043_nircam_clear-f150w,jw06882-o040_t043_nircam_clear-f277w,F150W,F277W,6882,158
u0100,J15067319+221999,,100,150.673191882952,2.219994477762032,T_U,,U,26.0,1.2574198040748348,s0,53,1,False,color,,,,,,False,,jw01635-o056_t035_nircam_clear-f150w,jw01635-o054_t037_nircam_clear-f444w,F150W,F444W,1635,664
u0101,J10939809+3775146,,101,109.39808653206184,37.751456931502105,L_known,pipe_U,U,18.0,1.1966762461436795,merger,,0,True,color,,,[BIO2017] M0717I-7355245042,SIMBAD:LeG,1.01,True,valsel,jw06882-o029_t063_nircam_clear-f150w,jw06882-o029_t063_nircam_clear-f277w,F150W,F277W,6882,211
u0102,J33372744-1401097,,102,333.7274368427851,-14.01096573219298,T_verified,C,C,40.0,2.3586193298222176,elliptical,19,1,False,color,,,,,,False,,jw06882-o044_t048_nircam_clear-f150w,jw06882-o044_t048_nircam_clear-f277w,F150W,F277W,6882,155
u0103,J30798663-4063616,,103,307.9866267768897,-40.6361610673881,D_refuted,elliptical_nearmiss,D,74.0,0.675415290323455,elliptical,,0,False,color,,,,,,False,,jw06882-o039_t042_nircam_clear-f150w,jw06882-o039_t042_nircam_clear-f277w,F150W,F277W,6882,99
