[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest.jsonl
[data] 154 healpix records
[data] healpix split: 146 train, 8 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 131820 z values, min=-0.0019 max=4.8293
[step   3000] loss=224.7384 z_loss=4.355 spec_loss=2.621 z_acc=0.000 spec_acc=0.305 masked_acc=0.303 rz_masked_acc=0.000 mask_r2=0.661 mask_auc=nan all_r2=0.656 all_auc=nan 2.4 step/s
[val     3000] loss=237.4164 overall_acc=0.3714 redshift_acc=0.0247 spectrum_acc=0.3727 loss_redshift=4.6086 loss_spectrum=2.4096 loss_total=2.4176 masked_spec_acc=0.3704 redshift_acc_masked=0.0142 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=237.4164 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_large/best.pt
  [ar_best   3000] ar_redshift_acc=0.0 ar_spectrum_acc=0.038743307974077205 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=26
[step   3100] loss=252.0863 z_loss=4.896 spec_loss=2.577 z_acc=0.000 spec_acc=0.349 masked_acc=0.340 rz_masked_acc=0.000 mask_r2=0.654 mask_auc=nan all_r2=0.662 all_auc=nan 2.2 step/s
[step   3200] loss=229.3920 z_loss=4.452 spec_loss=2.309 z_acc=0.000 spec_acc=0.400 masked_acc=0.398 rz_masked_acc=0.000 mask_r2=0.697 mask_auc=nan all_r2=0.697 all_auc=nan 2.3 step/s
[step   3300] loss=211.9153 z_loss=4.104 spec_loss=2.658 z_acc=0.000 spec_acc=0.300 masked_acc=0.323 rz_masked_acc=0.000 mask_r2=0.663 mask_auc=nan all_r2=0.652 all_auc=nan 2.3 step/s
[step   3400] loss=257.0052 z_loss=4.997 spec_loss=2.313 z_acc=0.000 spec_acc=0.386 masked_acc=0.392 rz_masked_acc=nan mask_r2=0.707 mask_auc=nan all_r2=0.697 all_auc=nan 2.3 step/s
[step   3500] loss=218.4138 z_loss=4.236 spec_loss=2.512 z_acc=0.000 spec_acc=0.344 masked_acc=0.347 rz_masked_acc=0.000 mask_r2=0.665 mask_auc=nan all_r2=0.671 all_auc=nan 2.3 step/s
[val     3500] loss=243.3045 overall_acc=0.3732 redshift_acc=0.0073 spectrum_acc=0.3745 loss_redshift=4.7249 loss_spectrum=2.3699 loss_total=2.3785 masked_spec_acc=0.3762 redshift_acc_masked=0.0070 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
[step   3600] loss=250.0016 z_loss=4.853 spec_loss=2.554 z_acc=0.000 spec_acc=0.338 masked_acc=0.332 rz_masked_acc=0.000 mask_r2=0.662 mask_auc=nan all_r2=0.665 all_auc=nan 2.3 step/s
[step   3700] loss=231.8688 z_loss=4.505 spec_loss=2.273 z_acc=0.000 spec_acc=0.371 masked_acc=0.340 rz_masked_acc=0.000 mask_r2=0.696 mask_auc=nan all_r2=0.702 all_auc=nan 2.3 step/s
[step   3800] loss=313.7935 z_loss=6.115 spec_loss=2.319 z_acc=0.000 spec_acc=0.343 masked_acc=0.323 rz_masked_acc=0.000 mask_r2=0.692 mask_auc=nan all_r2=0.696 all_auc=nan 2.3 step/s
[step   3900] loss=266.1844 z_loss=5.171 spec_loss=2.570 z_acc=0.000 spec_acc=0.338 masked_acc=0.339 rz_masked_acc=0.000 mask_r2=0.650 mask_auc=nan all_r2=0.663 all_auc=nan 2.3 step/s
[step   4000] loss=213.3425 z_loss=4.134 spec_loss=2.478 z_acc=0.000 spec_acc=0.306 masked_acc=0.305 rz_masked_acc=0.000 mask_r2=0.673 mask_auc=nan all_r2=0.675 all_auc=nan 2.3 step/s
[val     4000] loss=235.3016 overall_acc=0.3812 redshift_acc=0.0150 spectrum_acc=0.3826 loss_redshift=4.5680 loss_spectrum=2.3300 loss_total=2.3381 masked_spec_acc=0.3839 redshift_acc_masked=0.0076 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=235.3016 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_large/best.pt
  [ar_best   4000] ar_redshift_acc=0.0 ar_spectrum_acc=0.1804733727810651 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=26
[step   4100] loss=221.9728 z_loss=4.305 spec_loss=2.633 z_acc=0.000 spec_acc=0.277 masked_acc=0.274 rz_masked_acc=0.000 mask_r2=0.649 mask_auc=nan all_r2=0.655 all_auc=nan 2.2 step/s
[step   4200] loss=214.3765 z_loss=4.150 spec_loss=2.611 z_acc=0.000 spec_acc=0.326 masked_acc=0.346 rz_masked_acc=nan mask_r2=0.664 mask_auc=nan all_r2=0.658 all_auc=nan 2.2 step/s
[step   4300] loss=267.1687 z_loss=5.191 spec_loss=2.569 z_acc=0.000 spec_acc=0.292 masked_acc=0.286 rz_masked_acc=0.000 mask_r2=0.659 mask_auc=nan all_r2=0.663 all_auc=nan 2.3 step/s
[step   4400] loss=249.7871 z_loss=4.854 spec_loss=1.906 z_acc=0.000 spec_acc=0.447 masked_acc=0.442 rz_masked_acc=0.000 mask_r2=0.746 mask_auc=nan all_r2=0.750 all_auc=nan 2.3 step/s
[step   4500] loss=245.6300 z_loss=4.776 spec_loss=2.229 z_acc=0.000 spec_acc=0.392 masked_acc=0.395 rz_masked_acc=0.000 mask_r2=0.709 mask_auc=nan all_r2=0.708 all_auc=nan 2.3 step/s
[val     4500] loss=232.4514 overall_acc=0.3864 redshift_acc=0.0389 spectrum_acc=0.3877 loss_redshift=4.5129 loss_spectrum=2.2995 loss_total=2.3075 masked_spec_acc=0.3838 redshift_acc_masked=0.0420 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=232.4514 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_large/best.pt
  [ar_best   4500] ar_redshift_acc=0.0 ar_spectrum_acc=0.15835446604677375 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=26
[step   4600] loss=231.8676 z_loss=4.504 spec_loss=2.255 z_acc=0.000 spec_acc=0.379 masked_acc=0.371 rz_masked_acc=0.000 mask_r2=0.698 mask_auc=nan all_r2=0.704 all_auc=nan 2.2 step/s
[step   4700] loss=299.5697 z_loss=5.835 spec_loss=2.332 z_acc=0.000 spec_acc=0.420 masked_acc=0.423 rz_masked_acc=0.000 mask_r2=0.695 mask_auc=nan all_r2=0.694 all_auc=nan 2.2 step/s
[step   4800] loss=214.8687 z_loss=4.168 spec_loss=2.372 z_acc=0.000 spec_acc=0.288 masked_acc=0.257 rz_masked_acc=0.000 mask_r2=0.678 mask_auc=nan all_r2=0.689 all_auc=nan 2.2 step/s
[step   4900] loss=224.8764 z_loss=4.358 spec_loss=2.619 z_acc=0.000 spec_acc=0.327 masked_acc=0.321 rz_masked_acc=0.000 mask_r2=0.650 mask_auc=nan all_r2=0.657 all_auc=nan 2.2 step/s
[step   5000] loss=224.1605 z_loss=4.358 spec_loss=1.985 z_acc=0.000 spec_acc=0.449 masked_acc=0.455 rz_masked_acc=0.000 mask_r2=0.743 mask_auc=nan all_r2=0.740 all_auc=nan 2.2 step/s
[val     5000] loss=241.2416 overall_acc=0.3911 redshift_acc=0.0129 spectrum_acc=0.3925 loss_redshift=4.6866 loss_spectrum=2.2873 loss_total=2.2961 masked_spec_acc=0.3878 redshift_acc_masked=0.0222 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  ckpt -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_large/step_00005000.pt
[step   5100] loss=233.7159 z_loss=4.537 spec_loss=2.427 z_acc=0.000 spec_acc=0.307 masked_acc=0.313 rz_masked_acc=0.000 mask_r2=0.682 mask_auc=nan all_r2=0.682 all_auc=nan 2.2 step/s
[step   5200] loss=211.3230 z_loss=4.089 spec_loss=2.769 z_acc=0.000 spec_acc=0.269 masked_acc=0.253 rz_masked_acc=0.000 mask_r2=0.636 mask_auc=nan all_r2=0.637 all_auc=nan 2.2 step/s
[step   5300] loss=209.1450 z_loss=4.049 spec_loss=2.619 z_acc=0.000 spec_acc=0.274 masked_acc=0.274 rz_masked_acc=0.000 mask_r2=0.665 mask_auc=nan all_r2=0.657 all_auc=nan 2.2 step/s
[step   5400] loss=224.7744 z_loss=4.365 spec_loss=2.228 z_acc=0.000 spec_acc=0.375 masked_acc=0.401 rz_masked_acc=0.000 mask_r2=0.716 mask_auc=nan all_r2=0.708 all_auc=nan 2.2 step/s
[step   5500] loss=248.7213 z_loss=4.828 spec_loss=2.525 z_acc=0.000 spec_acc=0.317 masked_acc=0.308 rz_masked_acc=0.000 mask_r2=0.674 mask_auc=nan all_r2=0.669 all_auc=nan 2.3 step/s
[val     5500] loss=234.7057 overall_acc=0.3959 redshift_acc=0.0067 spectrum_acc=0.3974 loss_redshift=4.5587 loss_spectrum=2.2610 loss_total=2.2694 masked_spec_acc=0.3935 redshift_acc_masked=0.0000 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
[step   5600] loss=243.9689 z_loss=4.739 spec_loss=2.527 z_acc=0.000 spec_acc=0.318 masked_acc=0.328 rz_masked_acc=0.000 mask_r2=0.673 mask_auc=nan all_r2=0.669 all_auc=nan 2.3 step/s
[step   5700] loss=225.3428 z_loss=4.375 spec_loss=2.075 z_acc=0.000 spec_acc=0.471 masked_acc=0.476 rz_masked_acc=0.000 mask_r2=0.729 mask_auc=nan all_r2=0.728 all_auc=nan 2.3 step/s
[step   5800] loss=251.6003 z_loss=4.896 spec_loss=2.015 z_acc=0.000 spec_acc=0.510 masked_acc=0.512 rz_masked_acc=0.000 mask_r2=0.737 mask_auc=nan all_r2=0.736 all_auc=nan 2.3 step/s
[step   5900] loss=212.6290 z_loss=4.120 spec_loss=2.438 z_acc=0.000 spec_acc=0.340 masked_acc=0.369 rz_masked_acc=0.000 mask_r2=0.695 mask_auc=nan all_r2=0.680 all_auc=nan 2.3 step/s
[step   6000] loss=230.9493 z_loss=4.488 spec_loss=1.996 z_acc=0.125 spec_acc=0.435 masked_acc=0.446 rz_masked_acc=0.250 mask_r2=0.736 mask_auc=nan all_r2=0.738 all_auc=nan 2.3 step/s
[val     6000] loss=235.3854 overall_acc=0.3987 redshift_acc=0.0285 spectrum_acc=0.4000 loss_redshift=4.5724 loss_spectrum=2.2415 loss_total=2.2500 masked_spec_acc=0.3969 redshift_acc_masked=0.0270 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
[step   6100] loss=234.8915 z_loss=4.566 spec_loss=2.157 z_acc=0.000 spec_acc=0.419 masked_acc=0.429 rz_masked_acc=0.000 mask_r2=0.718 mask_auc=nan all_r2=0.717 all_auc=nan 2.3 step/s
[step   6200] loss=225.1004 z_loss=4.366 spec_loss=2.472 z_acc=0.000 spec_acc=0.303 masked_acc=0.329 rz_masked_acc=0.000 mask_r2=0.688 mask_auc=nan all_r2=0.676 all_auc=nan 2.3 step/s
[step   6300] loss=259.4066 z_loss=5.044 spec_loss=2.307 z_acc=0.000 spec_acc=0.412 masked_acc=0.435 rz_masked_acc=0.000 mask_r2=0.701 mask_auc=nan all_r2=0.698 all_auc=nan 2.3 step/s
[step   6400] loss=230.2383 z_loss=4.468 spec_loss=2.441 z_acc=0.000 spec_acc=0.374 masked_acc=0.359 rz_masked_acc=0.000 mask_r2=0.675 mask_auc=nan all_r2=0.680 all_auc=nan 2.3 step/s
[step   6500] loss=224.5517 z_loss=4.364 spec_loss=2.008 z_acc=0.000 spec_acc=0.420 masked_acc=0.434 rz_masked_acc=0.000 mask_r2=0.747 mask_auc=nan all_r2=0.737 all_auc=nan 2.3 step/s
[val     6500] loss=235.0113 overall_acc=0.3996 redshift_acc=0.0173 spectrum_acc=0.4010 loss_redshift=4.5651 loss_spectrum=2.2312 loss_total=2.2397 masked_spec_acc=0.3974 redshift_acc_masked=0.0296 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
[step   6600] loss=224.6291 z_loss=4.353 spec_loss=2.496 z_acc=0.000 spec_acc=0.306 masked_acc=0.319 rz_masked_acc=0.000 mask_r2=0.678 mask_auc=nan all_r2=0.673 all_auc=nan 2.3 step/s
[step   6700] loss=226.5077 z_loss=4.391 spec_loss=2.450 z_acc=0.000 spec_acc=0.324 masked_acc=0.320 rz_masked_acc=0.000 mask_r2=0.673 mask_auc=nan all_r2=0.679 all_auc=nan 2.3 step/s
[step   6800] loss=219.2450 z_loss=4.258 spec_loss=2.153 z_acc=0.000 spec_acc=0.379 masked_acc=0.383 rz_masked_acc=0.000 mask_r2=0.709 mask_auc=nan all_r2=0.718 all_auc=nan 2.3 step/s
[step   6900] loss=221.1422 z_loss=4.285 spec_loss=2.461 z_acc=0.000 spec_acc=0.347 masked_acc=0.356 rz_masked_acc=0.000 mask_r2=0.681 mask_auc=nan all_r2=0.677 all_auc=nan 2.3 step/s
[step   7000] loss=243.9213 z_loss=4.743 spec_loss=2.052 z_acc=0.000 spec_acc=0.420 masked_acc=0.397 rz_masked_acc=0.000 mask_r2=0.722 mask_auc=nan all_r2=0.731 all_auc=nan 2.3 step/s
[val     7000] loss=233.9141 overall_acc=0.4029 redshift_acc=0.0273 spectrum_acc=0.4042 loss_redshift=4.5430 loss_spectrum=2.2232 loss_total=2.2317 masked_spec_acc=0.4017 redshift_acc_masked=0.0270 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
[step   7100] loss=219.5493 z_loss=4.261 spec_loss=2.330 z_acc=0.000 spec_acc=0.343 masked_acc=0.332 rz_masked_acc=0.000 mask_r2=0.685 mask_auc=nan all_r2=0.695 all_auc=nan 2.3 step/s
[step   7200] loss=240.0063 z_loss=4.667 spec_loss=2.273 z_acc=0.000 spec_acc=0.426 masked_acc=0.421 rz_masked_acc=0.000 mask_r2=0.698 mask_auc=nan all_r2=0.702 all_auc=nan 2.3 step/s
[step   7300] loss=246.1665 z_loss=4.781 spec_loss=2.396 z_acc=0.000 spec_acc=0.347 masked_acc=0.341 rz_masked_acc=0.000 mask_r2=0.690 mask_auc=nan all_r2=0.686 all_auc=nan 2.3 step/s
[step   7400] loss=223.9080 z_loss=4.353 spec_loss=1.935 z_acc=0.000 spec_acc=0.467 masked_acc=0.457 rz_masked_acc=0.000 mask_r2=0.742 mask_auc=nan all_r2=0.746 all_auc=nan 2.3 step/s
[step   7500] loss=202.8065 z_loss=3.933 spec_loss=2.222 z_acc=0.000 spec_acc=0.377 masked_acc=0.393 rz_masked_acc=0.000 mask_r2=0.713 mask_auc=nan all_r2=0.709 all_auc=nan 2.3 step/s
