row_index,Name,RA,DEC,tractor_type,Score,Probability,resnet_model,Region,Spec,photo_z,g_mag,r_mag,z_mag,row_id,status_fits,bytes_fits,attempts_fits
53,DESI-042.0371-02.2771,42.0371,-2.2771,REX,3.5,0.93,L18,DECaLS,,0.247+/-0.018,20.04,18.66,17.9,DESI-042.0371-02.2771,skip,126720,0
55,DESI-043.5347-28.7960,43.5347,-28.796,DC,4.0,0.93,L18,DECaLS,,0.632+/-0.021,22.19,20.3,18.82,DESI-043.5347-28.7960,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=43.534700&dec=-28.796000&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
56,DESI-043.6660-04.3071,43.666,-4.3071,DC,3.5,1.0,L18,DECaLS,0.288,,19.35,17.68,16.79,DESI-043.6660-04.3071,skip,126720,0
58,DESI-044.4344-20.1488,44.4344,-20.1488,DC,3.5,0.49,L18,DECaLS,,0.711+/-0.025,23.07,21.09,19.42,DESI-044.4344-20.1488,skip,126720,0
60,DESI-044.9811+01.1387,44.9811,1.1387,DC,3.5,1.0,L18,DECaLS,,0.834+/-0.079,21.54,20.39,18.66,DESI-044.9811+01.1387,skip,126720,0
61,DESI-046.7690-06.4805,46.769,-6.4805,DC,4.0,0.33,L18,DECaLS,,0.480+/-0.105,22.11,20.7,19.8,DESI-046.7690-06.4805,skip,126720,0
64,DESI-051.8321-21.6081,51.8321,-21.6081,REX,3.5,0.16,L18,DECaLS,,0.502+/-0.201,19.43,18.0,16.69,DESI-051.8321-21.6081,skip,126720,0
65,DESI-053.6254-13.1866,53.6254,-13.1866,DC,4.0,1.0,L18,DECaLS,,0.362+/-0.010,19.51,17.72,16.79,DESI-053.6254-13.1866,skip,126720,0
66,DESI-055.0891-25.5584,55.0891,-25.5584,DC,3.5,1.0,L18,DECaLS,,0.667+/-0.047,21.94,20.17,18.7,DESI-055.0891-25.5584,fail: HTTP 429,0,5
67,DESI-055.7976-28.4777,55.7976,-28.4777,DC,4.0,1.0,L18,DECaLS,,0.447+/-0.049,20.93,19.27,18.38,DESI-055.7976-28.4777,fail: HTTP 429,0,5
68,DESI-057.2074-10.2962,57.2074,-10.2962,DC,4.0,1.0,L18,DECaLS,,0.745+/-0.075,21.97,20.33,18.65,DESI-057.2074-10.2962,skip,126720,0
69,DESI-057.9070-07.8706,57.907,-7.8706,DC,3.5,1.0,L18,DECaLS,,0.677+/-0.051,21.98,20.28,18.72,DESI-057.9070-07.8706,skip,126720,0
70,DESI-058.6486-30.5959,58.6486,-30.5959,DC,4.0,0.12,L18,DECaLS,,0.173+/-0.021,16.63,15.5,14.74,DESI-058.6486-30.5959,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=58.648600&dec=-30.595900&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
71,DESI-058.7926-18.5262,58.7926,-18.5262,DC,4.0,1.0,L18,DECaLS,,0.282+/-0.011,18.3,16.76,15.93,DESI-058.7926-18.5262,skip,126720,0
72,DESI-060.5238-22.0990,60.5238,-22.099,DC,4.0,1.0,L18,DECaLS,,0.367+/-0.051,21.11,19.32,18.25,DESI-060.5238-22.0990,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=60.523800&dec=-22.099000&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
76,DESI-064.8536-25.2248,64.8536,-25.2248,DC,4.0,0.98,L18,DECaLS,,0.360+/-0.012,19.51,17.72,16.82,DESI-064.8536-25.2248,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=64.853600&dec=-25.224800&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
77,DESI-065.6447-28.0652,65.6447,-28.0652,DC,4.0,0.53,L18,DECaLS,,0.641+/-0.036,21.63,19.81,18.31,DESI-065.6447-28.0652,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=65.644700&dec=-28.065200&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
80,DESI-067.4729-29.9597,67.4729,-29.9597,DC,3.5,0.25,L18,DECaLS,,0.716+/-0.015,21.85,19.86,18.16,DESI-067.4729-29.9597,fail: HTTP 429,0,5
81,DESI-069.0007-11.5477,69.0007,-11.5477,DC,4.0,0.91,L18,DECaLS,,0.425+/-0.033,20.02,18.22,17.14,DESI-069.0007-11.5477,ok,126720,1
82,DESI-070.1899-18.4737,70.1899,-18.4737,DC,3.5,0.63,L18,DECaLS,,0.526+/-0.010,21.12,19.15,17.91,DESI-070.1899-18.4737,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=70.189900&dec=-18.473700&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
83,DESI-070.1928-26.9754,70.1928,-26.9754,DC,4.0,0.82,L18,DECaLS,,0.500+/-0.011,20.6,18.67,17.5,DESI-070.1928-26.9754,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=70.192800&dec=-26.975400&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
