name,RA,DEC,grade,nearest_row_id,nearest_sep_arcsec,nearest_score,in_scored_set
DESI-211.0927+02.7242,211.0927,2.7242,B,347052_2245,0.1818628384080984,0.9815086722373962,True
DESI-216.1003+25.2423,216.1003,25.2423,B,472160_2415,0.04670602462989168,0.8015079498291016,True
DESI-217.1429-07.0963,217.1429,-7.0963,B,290988_492,0.1592112836084448,0.9999350309371948,True
DESI-217.4784+12.0433,217.4784,12.0433,B,399907_3390,0.13799013531244123,0.9998342990875244,True
DESI-219.0374-01.3295,219.0374,-1.3295,B,324044_1100,0.07641840348856678,0.4337901473045349,True
DESI-219.9228+00.5073,219.9228,0.5073,B,334127_4906,0.20625495257067153,0.048556841909885406,True
DESI-241.0592+06.4200,241.0592,6.42,B,368714_1549,0.07206721699684802,0.27319005131721497,True
DESI-241.5432+14.1008,241.5432,14.1008,B,411235_4772,0.16034199891161563,0.9998186230659485,True
DESI-317.3884+05.1456,317.3884,5.1456,B,361852_486,0.0794616559999848,0.9983376264572144,True
DESI-328.5453+00.6329,328.5453,0.6329,B,336002_461,0.13141362532025824,0.3293500244617462,True
DESI-351.4891-00.8741,351.4891,-0.8741,B,327453_0,0.14203265517516958,0.9996980428695679,True
DESI-005.7434+00.1667,5.7434,0.1667,C,331830_1157,0.25573026815118005,0.9928102493286133,True
DESI-009.9958+00.5677,9.9958,0.5677,C,333287_7565,0.15251710230688917,0.9999186992645264,True
DESI-010.2439-02.0572,10.2439,-2.0572,C,318888_1749,0.1804483754169306,0.022604281082749367,True
DESI-013.5957-05.7105,13.5957,-5.7105,C,297340_5761,0.07330094364556239,0.984586238861084,True
DESI-013.9264-01.0692,13.9264,-1.0692,C,324663_1869,0.1798805095806858,0.7906324863433838,True
DESI-013.9873-00.6495,13.9873,-0.6495,C,326103_6546,0.17334540620396222,0.9639772176742554,True
DESI-014.6980+00.2355,14.698,0.2355,C,331866_4023,0.14798756660227624,0.4759770333766937,True
DESI-014.7160-00.3509,14.716,-0.3509,C,328986_842,0.09127723307220592,0.23019826412200928,True
DESI-015.0586+01.8480,15.0586,1.848,C,340508_6603,0.1470617107307788,0.6057120561599731,True
DESI-015.1785-18.8779,15.1785,-18.8779,C,222909_7415,0.12407934305630712,0.7259566783905029,True
DESI-015.1912+03.7221,15.1912,3.7221,C,352024_2302,0.02664619561456869,0.9927131533622742,True
