row_id,RA,DEC,brick,head_score,v3blend8,v2_pfinal,mimic_p,mimic_fdr_sel
s_317921_1824,128.32284702272386,-2.26592384121192,1283m022,12.176939685178436,0.6681701211248932,0.6887560618653056,0.00013511231210944097,False
s_201165_4479,315.40007771528815,-23.32284884237266,3153m232,11.883601706403706,0.516107814496938,0.499193857298003,0.00013511231210944097,False
s_289350_3736,164.80512315258008,-7.144863940500535,1647m072,11.665557731752402,0.7905008548457433,0.8145301785403903,0.00013511231210944097,False
s_382748_5950,178.73354287378214,8.946872163552653,1786p090,11.59508287078142,0.8983169095104175,0.9030165149983148,0.00013511231210944097,False
s_366596_4084,68.60737213167252,6.371423994914611,0685p062,11.449358555269622,0.5868643083705054,0.7134035759897829,0.00013511231210944097,False
s_287144_6126,329.3161918093737,-7.854117262672231,3293m077,11.444058146093441,0.6594425962042093,0.6723495305651475,0.00013511231210944097,False
s_315268_3611,185.10258586790854,-2.7003020288518154,1851m027,11.369368600019198,0.7543824835456276,0.8220451330779973,0.00013511231210944097,False
s_306475_9936,144.63208806575838,-4.253471820273995,1445m042,11.360328431327899,0.9008766491740976,0.9414026386785561,0.00013511231210944097,False
s_285006_11643,150.3813820629288,-7.956114609543961,1503m080,10.96484385346192,0.3940493008861849,0.3954892323605075,0.00013511231210944097,False
s_361366_1417,195.59942321104214,5.233920076284468,1956p052,10.860916100364673,0.5554447579892231,0.5431342178204461,0.00013511231210944097,False
s_373631_4164,38.220796697165895,7.523716813240458,0381p075,10.134391329472919,0.5459875116088545,0.5348365643562566,0.00013511231210944097,False
s_342401_4155,128.395947495066,2.09622294610646,1283p020,10.131104446855431,0.278346892212028,0.2176411843603095,0.00013511231210944097,False
s_66820_9988,95.5655413449803,-53.09088482162204,0953m530,9.7599445026437,0.6140169370690818,0.7402938145778314,0.00013511231210944097,False
s_345308_4013,135.09028749016176,2.4335881150964362,1351p025,6.563402926539535,0.29561751740081854,0.21242638579056655,0.00016889039013680122,False
s_243822_4996,81.43791180389564,-15.192734783111867,0813m152,5.801919367608219,0.6552335292459349,0.6938858461953513,0.00016889039013680122,False
s_130240_7051,289.1702772453044,-37.55836197461221,2891m375,5.630922647842413,0.6415275919158122,0.7797619114667353,0.00016889039013680122,False
s_329502_9238,143.71083011618907,-0.20954121155885422,1436m002,5.541269754021306,0.38489386677427245,0.48094105393680975,0.00016889039013680122,False
s_357069_4068,198.4811427994379,4.456832196832365,1984p045,5.462854490159518,0.6020861838966026,0.6050393681821786,0.00016889039013680122,False
s_163051_1440,85.99183057560546,-30.580400494372874,0860m305,5.370596132456824,0.8302324761276846,0.9828249234875687,0.00016889039013680122,False
s_265124_2364,151.05423296264527,-11.404593410876497,1510m115,5.27021912307514,0.709372405123041,0.649665433424832,0.00016889039013680122,False
s_248291_2307,156.12374507062478,-14.545995212395518,1561m145,5.251502109090255,0.6964168990827116,0.7419297031842093,0.00016889039013680122,False
s_46593_9370,41.776993316287715,-59.292686330370024,0415m592,5.13908097074751,0.623984055052607,0.7693530245409945,0.00016889039013680122,False
s_336346_941,54.54237957447367,0.968176904609438,0546p010,5.100748121990796,0.4993427177224916,0.5827539124018927,0.00016889039013680122,False
s_238518_4525,145.3374615992116,-16.23257103240169,1452m162,5.092659991782067,0.22420626148256123,0.23685909335074012,0.00016889039013680122,False
