row_id,RA,DEC,v3blend8,head,euclid_grade,euclid_fits,known
s_172970_19840,52.520109630760075,-28.51697738037826,0.4003161158761941,-4.103990290443789,,False,False
s_86064_18077,64.77034343397962,-47.83884061215043,0.39910841344681103,-8.574950608001565,,False,False
s_174242_2661,53.31422650268329,-28.253344859411186,0.39854608081805054,-2.6099935193048136,,False,False
s_85083_16080,59.59371803507566,-47.910458840211874,0.3980825763574103,-8.501082852380753,,False,False
s_85091_14005,62.491576383958744,-47.93116743681752,0.3977327146567404,0.7574804944398505,,False,True
s_78449_801,62.06115980821485,-49.69724846019138,0.3957411174487788,-1.7177124036889322,,False,False
s_85082_14145,59.20457315825575,-48.05861240317166,0.39445115842681844,-3.118601452952313,,False,False
s_77517_9778,61.74221946460561,-49.88520060640822,0.3939441403344972,-2.3507480702884695,,False,False
s_81263_7806,60.49500175006446,-49.044815817310976,0.3926561841653893,0.9134095567562777,,False,False
s_79380_10930,60.8209749542662,-49.41110205710629,0.3919024658825947,-1.3990375387779626,,False,False
s_82221_2395,63.95160156485699,-48.63491643221216,0.3917190171923721,-2.8685036775256716,,False,False
s_78449_9554,62.204847010372674,-49.808949064164544,0.39139026308839675,-1.9139032277502008,,False,False
s_84122_1609,59.89064940145556,-48.29173694781181,0.39036465594836045,-2.0555023634922582,,False,False
s_78448_14280,61.910940827169405,-49.86498329494241,0.3901703970914241,-1.4844455150965739,,False,True
s_85091_13805,62.48877470658347,-47.93189792206979,0.3901238570397254,0.6651153637730893,,False,False
s_82220_14238,63.7813925827401,-48.85994708836016,0.39000839029904455,-0.3160365897738746,,False,False
s_80320_19274,61.322927286466985,-49.329583317126904,0.3896969292545691,-0.5714564029295008,,False,False
s_171703_9869,51.76698853687063,-28.81330470514895,0.3893961886642501,-0.7519005228722628,,False,False
s_80328_19568,64.37418757034271,-49.21832662499381,0.38896141010627616,-8.207223175298159,,False,False
s_77519_3297,62.36440509012515,-49.89229256158895,0.38893102841393556,-2.023699029469463,,False,False
s_167927_7628,52.12199285544646,-29.40360752622488,0.3886630963534117,0.25284738717389477,,False,False
s_93965_1229,61.821120452286905,-45.74260908881262,0.3882548163237516,0.3408155333142373,,False,False
