rank,is_new,rank_within_new,row_id,RA,DEC,mean5,footprint,brick
102046,0,,s_15124_3447,183.46386554024056,-72.74614891982485,0.2209479914046824,south,1837m727
102047,0,,s_26420_22517,69.04307218332212,-66.93847551430399,0.2209475431824103,south,0690m670
102048,1,90900.0,s_88886_2269,24.897989876481574,-47.1105658037205,0.22094752264747514,south,0250m470
102049,1,90901.0,s_399125_2004,17.705169408241144,12.05385692822639,0.22094733754056506,south,0177p120
102050,1,90902.0,s_134021_3795,30.204012562675075,-36.47301251792515,0.22094724557246082,south,0302m365
102051,1,90903.0,s_488822_5859,199.01797107106444,28.456973109076976,0.22094709653174505,south,1988p285
102052,1,90904.0,s_29985_702,111.87207330231196,-65.56916580021237,0.2209454294439638,south,1121m655
102053,1,90905.0,s_434267_375,108.01635511081938,18.356935359890763,0.22094533503986896,south,1081p182
102054,1,90906.0,s_190846_6022,13.342989928125084,-24.942888779609117,0.2209453196497634,south,0133m250
102055,1,90907.0,s_184923_6252,173.02007534686828,-26.189932161298007,0.22094505396671593,south,1729m262
102056,1,90908.0,s_205468_846,39.96335005784835,-22.164894414336704,0.2209448145076749,south,0400m222
102057,1,90909.0,s_307867_4216,133.06510151841448,-4.078686090638462,0.22094454926191248,south,1330m040
102058,1,90910.0,s_99063_5461,64.85414189531693,-44.456540946615064,0.22094425207105814,south,0648m445
102059,1,90911.0,s_393538_4604,34.770302314842084,11.112509061295087,0.22094404948875307,south,0347p110
102060,1,90912.0,s_85184_7301,97.18098306562001,-47.93930107445174,0.2209438997786492,south,0970m480
102061,1,90913.0,s_390596_598,7.135143341322649,10.508899595040688,0.22094352217391133,south,0072p105
102062,1,90914.0,s_158543_6231,213.5620391845787,-31.540282910359423,0.22094268421642482,south,2135m315
102063,1,90915.0,s_17537_6903,328.5456398738249,-71.37996818376739,0.2209425715445832,south,3283m715
102064,1,90916.0,s_302975_3568,347.3681813525465,-5.080487976830144,0.2209421198349446,south,3473m050
102065,1,90917.0,s_407016_2205,237.02705077211334,13.233447123431809,0.22094130221521482,south,2370p132
102066,0,,s_30519_8954,70.81334053902143,-65.14036526033746,0.22094122541020625,south,0709m652
102067,1,90918.0,s_257427_5437,344.58365680587866,-12.938857575142114,0.22094119701578166,south,3444m130
102068,1,90919.0,s_360713_1924,31.915314827943085,5.291989979314591,0.22094104890711605,south,0319p052
102069,0,,s_230199_2713,132.9756942722576,-17.78454328392585,0.22094017285853623,south,1329m177
102070,0,,s_62987_6959,287.3282187311597,-54.36453862293485,0.22093999646604062,south,2872m542
102071,1,90920.0,s_279476_4835,193.82893570451878,-8.893933746404526,0.22093971866415812,south,1937m090
102072,1,90921.0,s_50346_167,39.47867577739275,-57.98290174936703,0.2209396911319345,south,0397m580
102073,1,90922.0,s_343558_2169,57.684757194410636,2.238011406977797,0.22093893475830556,south,0576p022
102074,1,90923.0,s_430198_4962,121.59279764259279,17.616598372382153,0.22093843922339146,south,1215p175
102075,1,90924.0,s_175974_4075,183.84831777373188,-27.980407001617465,0.2209358287647774,south,1838m280
102076,1,90925.0,s_290908_2855,196.98015394605764,-7.115815086607042,0.22093560091452674,south,1969m070
102077,1,90926.0,s_436534_2798,344.3226617353009,18.455214896041987,0.22093543424271048,south,3443p185
102078,1,90927.0,s_2559_1881,150.28698003851167,-83.11387507571271,0.22093445227801567,south,1510m830
102079,1,90928.0,s_339065_8754,14.490263016068326,1.547376361216199,0.2209341933034011,south,0143p015
102080,1,90929.0,s_208808_1846,219.29383254989793,-21.83338108994196,0.2209341399371624,south,2193m217
102081,1,90930.0,s_383335_2607,326.98979569777384,9.11703832473836,0.22093402554746716,south,3270p090
102082,1,90931.0,s_432501_3491,4.643934567697988,18.005364721574804,0.22093397392891348,south,0045p180
102083,1,90932.0,s_504751_4362,114.20937863676158,31.736423075341428,0.22093376792035996,south,1141p317
102084,1,90933.0,s_228905_4224,153.66069934647228,-18.09452904668953,0.22093360019498504,south,1536m180
102085,1,90934.0,s_175869_690,154.02338532921172,-28.025197119929928,0.22093358081765474,south,1541m280
102086,1,90935.0,s_425074_3490,223.65164609077527,16.393743514287216,0.22093351252842694,south,2236p165
102087,0,,s_503873_3278,217.06031039384675,31.615301857806113,0.22093299962580204,south,2170p315
102088,1,90936.0,s_498825_2891,187.40770248532496,30.62372324411818,0.2209326512100233,south,1873p305
102089,0,,s_181296_7558,240.93351013892166,-27.015725483186948,0.2209321826696396,south,2408m270
102090,1,90937.0,s_279624_4809,231.25757605008712,-8.897267335164827,0.22093210164748597,south,2311m090
102091,1,90938.0,s_62439_2952,53.41302268484817,-54.254368416717156,0.22093193496475577,south,0535m542
102092,1,90939.0,s_100766_2518,298.8186150851512,-44.34010488700921,0.22093165558762848,south,2988m442
102093,1,90940.0,s_38212_3116,84.43506033576688,-62.13373307426027,0.2209313920713612,south,0846m622
102094,1,90941.0,s_431536_356,111.63093357700289,17.636101412544015,0.22092946469492744,south,1117p177
102095,1,90942.0,s_10641_37815,75.02405479022401,-75.43012280581115,0.22092944298055955,south,0746m755
102096,1,90943.0,s_343811_399,120.76224867413276,2.176389344114536,0.2209293953725137,south,1208p022
102097,1,90944.0,s_392513_104,133.98656169388528,10.642621233786663,0.220928600942716,south,1341p107
102098,1,90945.0,s_443366_6885,350.16848302599465,19.662489357344732,0.22092840857803822,south,3500p197
102099,1,90946.0,s_376362_1477,6.11457406991078,7.969876796314412,0.22092768297879956,south,0061p080
102100,0,,s_425060_4513,220.07841275429533,16.404562245523422,0.22092722486704588,south,2199p165
102101,1,90947.0,s_221279_7568,304.3776125605011,-19.465061841870835,0.2209265992511064,south,3042m195
102102,1,90948.0,s_233078_3849,166.30217331860635,-17.138587704952187,0.220926534323371,south,1662m172
102103,1,90949.0,s_96972_6952,50.23422452544455,-44.87720816847793,0.22092609404353425,south,0501m450
102104,1,90950.0,s_375501_2009,149.0628768829735,7.680893661700829,0.22092604722929537,south,1491p077
102105,1,90951.0,s_26969_5634,57.62412022947574,-66.67626868738277,0.22092556228017202,south,0575m667
102106,0,,s_19796_21427,234.35395310004122,-70.28805366543594,0.2209254423956736,south,2340m702
102107,1,90952.0,s_104264_9800,65.2862556015209,-43.16858616717801,0.2209247480470367,south,0651m432
102108,1,90953.0,s_131125_3337,206.39787572448446,-37.1929788777069,0.22092462331056595,south,2064m372
102109,1,90954.0,s_366601_640,69.67937313509115,6.226250148041801,0.22092416398227216,south,0697p062
102110,1,90955.0,s_212635_2802,165.13635411445227,-20.979278845315456,0.22092390321195127,south,1651m210
102111,1,90956.0,s_101147_1506,70.99863801734568,-44.0814605003558,0.2209228524916398,south,0711m440
102112,1,90957.0,s_295853_4571,0.38827361727955917,-6.124980030191557,0.22092227324974373,south,0003m060
102113,1,90958.0,s_326132_417,21.013474787191985,-0.8427583289592154,0.22092189038849028,south,0211m007
102114,1,90959.0,s_364066_2576,153.25391682112408,5.724348461295243,0.22092156408471056,south,1532p057
102115,1,90960.0,s_85783_7824,320.3847313123592,-47.936778908889025,0.22092146406430402,south,3203m480
102116,0,,s_406748_1192,168.25735804758375,13.214318843829371,0.2209211281966418,south,1683p132
102117,1,90961.0,s_431622_6204,134.402823194723,17.699009711692323,0.22092112069949507,south,1342p177
102118,1,90962.0,s_87061_5228,73.57369985870133,-47.57902478465014,0.22092067600824522,south,0735m475
102119,1,90963.0,s_356517_1062,60.00108159006291,4.434884991444247,0.2209204007871449,south,0600p045
102120,1,90964.0,s_34341_2645,121.10315170488329,-63.823498228067834,0.2209200521640014,south,1212m637
102121,1,90965.0,s_50515_5508,119.17212404506196,-57.92245350609372,0.22091962435515597,south,1191m580
102122,1,90966.0,s_58095_7843,328.9175527937231,-55.75883549234058,0.22091955905198118,south,3288m557
102123,1,90967.0,s_453300_2332,122.60823901796036,21.744882300874878,0.22091918175574393,south,1226p217
102124,1,90968.0,s_251293_2121,209.4569995736082,-14.086668685211054,0.220919085717469,south,2094m140
102125,1,90969.0,s_385131_2733,61.753228917252606,9.406078434835118,0.22091896277561318,south,0616p095
102126,1,90970.0,s_420879_5359,213.16406284632535,15.823312758889273,0.22091858840867645,south,2130p157
102127,1,90971.0,s_409658_3282,195.57336904000417,13.708460563279964,0.22091783296782525,south,1955p137
102128,1,90972.0,s_284714_1698,76.7053191604271,-8.094999621754313,0.22091643333260436,south,0767m080
102129,1,90973.0,s_353934_1690,133.2564281747179,4.007245807697237,0.22091594911180437,south,1333p040
102130,1,90974.0,s_51270_8831,113.25246519096066,-57.8705577338097,0.22091552225138003,south,1130m577
102131,1,90975.0,s_55755_4623,6.883313226088393,-56.333762964032566,0.2209148257948982,south,0069m562
102132,1,90976.0,s_170392_4408,37.763622941714054,-28.915066783064695,0.22091455952031538,south,0377m290
102133,1,90977.0,s_316551_985,145.79384124163778,-2.4930160267331183,0.2209137895486492,south,1458m025
102134,1,90978.0,s_42056_3703,295.6059366619455,-61.01569807836925,0.22091301623731852,south,2956m610
102135,1,90979.0,s_358704_6628,248.4217411309303,4.700065797955999,0.22091301130130886,south,2483p047
102136,1,90980.0,s_171416_5313,329.98256356647715,-29.072891357067483,0.22091298301820644,south,3299m290
102137,1,90981.0,s_469253_467,135.49600356160886,24.657533733948956,0.22091273591504432,south,1356p247
102138,1,90982.0,s_118666_1806,190.8018924000341,-39.971593380532966,0.2209126744128298,south,1909m400
102139,1,90983.0,s_431782_1446,176.142628608476,17.725883155946825,0.22091221901355312,south,1762p177
102140,1,90984.0,s_474632_248,179.4551239812326,25.827888345682947,0.2209122078085784,south,1795p257
102141,0,,s_485945_5564,103.93823729795923,28.04768743473634,0.22091173604130745,south,1038p280
102142,1,90985.0,s_253999_5579,185.33920802750046,-13.56602874679995,0.22091096256044693,south,1852m135
102143,1,90986.0,s_230346_1408,171.40941216632237,-17.852916638307057,0.22091074455529452,south,1714m177
102144,1,90987.0,s_328008_360,130.01100835285177,-0.4585613232721536,0.22091070917085745,south,1301m005
102145,1,90988.0,s_32283_699,27.14631568994074,-64.49273004812729,0.22091067463552463,south,0274m645
102146,1,90989.0,s_282268_6200,179.46573904324217,-8.432432017258206,0.22091001089429482,south,1793m085
102147,1,90990.0,s_77546_5892,72.97963997103561,-49.985571495116496,0.22090956593474403,south,0729m500
102148,1,90991.0,s_444645_5171,329.6795191811504,19.954662555677704,0.22090954571031035,south,3296p200
102149,1,90992.0,s_163772_2670,294.6405500601668,-30.580493219234445,0.2209092236123979,south,2947m305
102150,1,90993.0,s_145686_4512,357.79983916309595,-34.32281315455441,0.22090894748689607,south,3577m342
102151,1,90994.0,s_143471_4500,48.840262438754486,-34.61141391754846,0.22090840598684736,south,0488m345
102152,1,90995.0,s_354854_9485,3.7423386798381113,4.148037547946035,0.22090742940054042,south,0036p042
102153,0,,s_10426_13377,220.02533338894813,-75.69874675556038,0.22090728413313626,south,2197m757
102154,1,90996.0,s_436694_1917,26.434729547988763,18.647132238926453,0.2209070495024207,south,0264p187
102155,1,90997.0,s_423628_1000,207.09062234847255,16.212228023847253,0.2209070248529315,south,2071p162
102156,1,90998.0,s_53315_9434,339.66608569007695,-57.30739406172863,0.22090690585464473,south,3395m572
102157,1,90999.0,s_263296_3413,44.971643372296626,-11.795908509245159,0.22090679872926558,south,0450m117
102158,0,,s_25609_7413,267.48426046817366,-67.42849087814008,0.2209062052774243,south,2674m675
102159,0,,s_236420_4253,318.9978411200031,-16.781493219674545,0.2209057778120041,south,3189m167
102160,1,91000.0,s_403794_2858,131.2278973757108,12.649782358050057,0.22090385268093088,south,1312p127
