rank,is_new,rank_within_new,row_id,RA,DEC,mean5,footprint,brick,sep_arcsec,klc_ra,klc_dec,klc_index,klc_ref,klc_dup,klc_catalog
70198,1,61387.0,s_229871_8138,47.13846684717373,-17.667612783418264,0.2370452696923166,south,0470m177,0.12267962942227602,47.1385,-17.6676,9234,Huang 2022,1,klc_clean250629ymh
2715,0,,s_368569_4201,204.5635270736012,6.4274093108325605,0.3806256655603647,south,2045p065,0.12287199409565075,204.5635528564453,6.42738676071167,5867,Talbot,1,klc_clean250629ymh
4861,0,,s_325885_4521,319.3483211293706,-0.947773186218134,0.3542646169662475,south,3193m010,0.12289173821478742,319.3483,-0.9478,DESI-319.3483-00.9478,DESI-319.3483-00.9478,1,huang2020_published_catalog
19682,0,,s_488160_3707,11.012035714373248,28.50258656150976,0.2910143625456839,south,0109p285,0.12290986568117102,11.012,28.5026,9429,Huang 2022,1,klc_clean250629ymh
2706,0,,s_285300_558,224.38318928468,-8.01503251651276,0.3808680638670921,south,2244m080,0.12313418096332754,224.3832,-8.015,10079,Huang 2022,1,klc_clean250629ymh
111,0,,s_490155_4649,218.11468363461972,28.721331057805077,0.5342902630567551,south,2180p287,0.12316864591864422,218.1147,28.7213,10060,Huang 2022,1,klc_clean250629ymh
101696,1,90578.0,s_399855_5898,204.2365189485517,12.027771237820623,0.2211076143750688,south,2041p120,0.12317677778215529,204.2365,12.0278,10034,Huang 2022,1,klc_clean250629ymh
18447,0,,s_271722_10718,29.177816546297468,-10.183430098643232,0.2938034060178324,south,0290m102,0.12319947011646747,29.1778,-10.1834,DESI-029.1778-10.1834,DESI-029.1778-10.1834,1,huang2020_published_catalog
3080,0,,s_57238_4856,309.3864868050639,-56.02030403318052,0.3746097953990102,south,3094m560,0.12328214661354965,309.38648,-56.02027,7502,Diehl et al. 2017,1,klc_clean250629ymh
30884,1,25354.0,s_202771_8463,30.78063375979244,-22.78558568638253,0.2718589443567907,south,0307m227,0.12333126878287091,30.7806,-22.7856,9562,Huang 2022,1,klc_clean250629ymh
