rank,rank_within_new,row_id,RA,DEC,mean5,footprint,brick
540,120,s_184286_1519,355.61123995797743,-26.453117571145942,0.4550787815824151,south,3556m265
541,121,s_162611_661,318.5141245930004,-30.684777993052236,0.4550773656228557,south,3186m307
544,122,s_467430_3690,355.27321155782084,24.155242249013266,0.4548189527355134,south,3552p242
548,123,s_252782_5533,232.6538451200206,-13.769000143788558,0.4544216424226761,south,2325m137
549,124,s_497380_3457,129.6043169576802,30.287034373039987,0.4542261093854904,south,1295p302
551,125,s_368017_2358,65.75825588385277,6.5313055926017185,0.45401746770367024,south,0657p065
552,126,s_266620_951,172.1327437711394,-11.31075415681488,0.4537735844030976,south,1722m112
554,127,s_445482_3402,192.11494917443986,20.18049079930192,0.4536837130333879,south,1920p202
555,128,s_134183_2279,80.45835132788187,-36.586243686433065,0.4536298330873251,south,0805m365
556,129,s_293705_3211,180.40307634108984,-6.604377014613924,0.45353794139809905,south,1803m065
558,130,s_503639_204,148.3996938223705,31.544106478990344,0.45342192355601585,south,1485p315
559,131,s_363595_3462,35.047494542907046,5.769775415405809,0.4533693876117468,south,0350p057
560,132,s_413759_4290,171.72412712093845,14.549781525716636,0.45332674933597444,south,1716p145
561,133,s_103108_3769,28.275621207818894,-43.38679449465405,0.4531896379587124,south,0283m435
563,134,s_193427_4256,3.2200575042019084,-24.56032167929419,0.4530515135382302,south,0031m245
564,135,s_486915_5014,18.140411721263,28.261255491761855,0.4529009409598075,south,0180p282
566,136,s_375163_2583,63.94267304408738,7.689820192972918,0.45256755836308005,south,0639p077
568,137,s_295122_4496,176.63994357007775,-6.181222181103962,0.45249002017080786,south,1766m062
569,138,s_206781_10709,34.43685657576616,-21.97615909999447,0.45247623790055513,south,0343m220
575,139,s_311017_4602,201.72992997820919,-3.4059430062692173,0.45200484376400707,south,2016m035
576,140,s_51134_801,49.453232415632684,-57.76293001333381,0.45199269194854425,south,0496m577
580,141,s_134242_5492,98.90973079925449,-36.38787642163387,0.4516524820588529,south,0988m365
581,142,s_197549_7260,51.190590788775815,-23.777575345298867,0.451551750022918,south,0511m237
583,143,s_276638_4968,195.65106848840247,-9.4228351100441,0.45143806375563145,south,1955m095
589,144,s_216120_7843,15.619757488602877,-20.22968578204795,0.45055333729833363,south,0155m202
590,145,s_180735_8885,83.94162318218463,-27.008842419644843,0.45054923454299567,south,0838m270
591,146,s_85083_2237,59.306397634483254,-47.94672326100289,0.4505219329963438,south,0594m480
595,147,s_200176_4187,46.80176010513809,-23.27366156157889,0.45037585354875775,south,0468m232
596,148,s_453246_4766,108.21937498359027,21.841519675401496,0.4502522174268961,south,1081p217
597,149,s_210858_4931,49.423952695664255,-21.305001149239445,0.4501657237764448,south,0494m212
599,150,s_506127_2721,158.0901473308667,31.883497256712836,0.45008863661205395,south,1580p320
600,151,s_132824_4991,17.570036956733464,-36.63950263485894,0.4500611991388723,south,0175m367
601,152,s_194131_1006,196.23132459825848,-24.531928258492556,0.45004954989999535,south,1963m245
602,153,s_273677_1546,165.15273790414386,-9.877646712744506,0.44979485794901847,south,1651m100
605,154,s_494983_5648,159.28405160691977,29.691779746102185,0.4493568197824061,south,1591p297
613,155,s_374425_2177,237.98411875323433,7.614539086118281,0.4485827349126339,south,2380p075
616,156,s_181097_865,185.06936238777692,-27.01597687428324,0.448453202098608,south,1851m270
619,157,s_131888_10078,85.30125746009321,-36.929557781914866,0.4483816372929141,south,0851m370
621,158,s_372323_3007,68.92754105113981,7.196219905488199,0.44828247716650366,south,0688p072
622,159,s_321887_9387,39.971344010265135,-1.5822496324545903,0.4481924295425415,south,0398m015
624,160,s_482415_252,189.55744279937474,27.302841522636655,0.44816096778959036,south,1896p272
626,161,s_219086_3354,83.31954279721975,-19.686909456455464,0.4480404610687401,south,0833m197
635,162,s_356562_2883,71.33330648979103,4.479617547911088,0.44754799380898475,south,0713p045
638,163,s_468187_222,202.78139643382534,24.39012778004773,0.4473565846681595,south,2029p245
639,164,s_155555_7257,56.953134525560664,-31.9806408057192,0.4472473993897438,south,0569m320
