rank,row_id,RA,DEC,brick,p_final,status
100,s_441303_4001,163.4840950186074,19.392173538266402,1634p195,0.9629650967244953,NEW
101,s_150048_4732,225.1829722067325,-33.155760935779014,2252m332,0.9629650967244953,NEW
102,s_384179_4793,180.70646549566985,9.344184036325709,1806p092,0.9623875177560451,NEW
103,s_119337_4430,49.093247612057766,-39.73612560687641,0491m397,0.9618389001396622,NEW
104,s_164595_539,172.5087113116581,-30.17499858730115,1726m302,0.9614043869692696,NEW
105,s_5860_6027,40.69907685370324,-79.20346467548798,0403m792,0.9606957368846978,NEW
106,s_368280_1951,131.82131638168966,6.409028641338211,1318p065,0.9604178513510668,NEW
107,s_361826_3023,310.92507531207235,5.237976676485359,3109p052,0.9602049132115577,NEW
108,s_486802_374,345.91393836480466,27.882945681511895,3460p280,0.9602049132115577,NEW
109,s_62166_4936,296.8505170853384,-54.55082958236369,2967m545,0.9590617499565932,NEW
110,s_13651_30988,4.817236497982613,-73.50602576687096,0048m735,0.9566518455607458,NEW
111,s_202076_1239,202.28482131310017,-22.979942556628117,2023m230,0.9552967580712044,NEW
112,s_206743_11153,24.211960797826606,-22.007634362883184,0240m220,0.9552967580712044,NEW
113,s_504880_3752,152.07626990046026,31.70046711764616,1520p317,0.9552967580712044,NEW
114,s_107391_5569,50.59436016797723,-42.406063441852034,0505m425,0.9543512041703879,NEW
115,s_325460_8410,213.15249505292675,-0.8962258672560877,2131m010,0.9541525655246602,NEW
116,s_86871_1518,3.3757324854530566,-47.58619645429892,0035m475,0.9536627711430998,NEW
117,s_11376_17560,73.39193973252907,-75.0901399018213,0732m750,0.9536627711430998,NEW
118,s_183312_4999,84.2821307505559,-26.417070466502334,0842m265,0.9536627711430998,NEW
119,s_80046_878,316.2704796909806,-49.57831211397798,3164m495,0.9536627711430998,NEW
120,s_13641_7229,356.16885801333126,-73.65602099482416,3560m737,0.9536627711430998,NEW
121,s_12451_25422,4.973656789741526,-74.30753349204166,0050m742,0.9530411705214993,NEW
122,s_458865_5257,183.49447393904714,22.77189047555416,1833p227,0.9530411705214993,NEW
123,s_395826_4439,256.76268182313737,11.337166413771564,2567p112,0.9530411705214993,NEW
124,s_13244_35065,4.264794616262412,-73.85445304111268,0039m737,0.9530411705214993,NEW
125,s_135289_4285,63.50574797010627,-36.30907994696942,0635m362,0.9529513240571008,NEW
126,s_87926_7577,32.55225122709808,-47.331876167224365,0325m472,0.9527044771396931,NEW
127,s_159801_6955,221.01590903540477,-31.247148671237998,2209m312,0.9520586263372353,NEW
128,s_332512_5948,176.18674346375414,0.22968779565245817,1761p002,0.9518980072665346,NEW
129,s_187622_2836,202.27481625451986,-25.682318675735086,2022m257,0.9518980072665346,NEW
130,s_368031_3299,69.31018677252881,6.482447457378501,0692p065,0.9518980072665346,NEW
131,s_266022_4659,20.040718498793233,-11.348333511355799,0199m112,0.9518980072665346,NEW
132,s_11682_10306,5.808555161098027,-74.8081037299124,0061m747,0.9518539856133842,NEW
133,s_353680_2811,69.7631536496532,3.977114657506065,0697p040,0.9518539856133842,NEW
134,s_84065_9593,38.86324728446835,-48.3058464088363,0387m482,0.9513493896501517,NEW
135,s_376630_2995,73.75970354830241,7.933976036244201,0737p080,0.9511594341641194,NEW
136,s_282119_2259,141.7023328613487,-8.569942448339063,1417m085,0.9502051971036074,NEW
137,s_100867_8356,334.15926698298534,-44.32220081136392,3340m442,0.950070932871599,NEW
138,s_100867_8340,334.1586932657706,-44.32201223125875,3340m442,0.950070932871599,NEW
139,s_258235_10551,191.4844898380915,-12.757257968356278,1913m127,0.950070932871599,NEW
140,s_259622_2239,186.24131332031124,-12.57817608048474,1862m125,0.950070932871599,NEW
141,s_415192_4207,181.46687869900185,14.657559109487273,1814p147,0.950070932871599,NEW
142,s_487454_5572,170.92043236924835,28.36000123681503,1707p282,0.950070932871599,NEW
143,s_115304_5616,170.73036380807326,-40.71061501409166,1706m407,0.950070932871599,NEW
144,s_319431_5654,145.86522325502827,-1.914813817644586,1458m020,0.950070932871599,NEW
145,s_73880_3612,75.2779045999351,-50.913126864536935,0753m510,0.950070932871599,NEW
146,s_478268_3841,109.96267716899098,26.558115577235007,1099p265,0.950070932871599,NEW
147,s_43733_3306,65.832792515156,-60.129365216704294,0659m602,0.950070932871599,NEW
148,s_350770_368,61.11685430453415,3.6189099403754343,0612p035,0.950070932871599,NEW
149,s_123825_6054,56.041534105668894,-38.79317120937054,0561m387,0.950070932871599,NEW
150,s_234022_7293,52.93843231753762,-17.000525559283428,0529m170,0.950070932871599,NEW
151,s_119342_4162,50.71637140160282,-39.76937097852493,0507m397,0.950070932871599,NEW
152,s_214865_2120,40.8492693963249,-20.422826488442606,0409m205,0.950070932871599,NEW
153,s_172926_7846,39.9711419151529,-28.57957481321629,0398m285,0.950070932871599,NEW
154,s_238074_5020,29.77308795203018,-16.145578831839853,0297m162,0.950070932871599,NEW
155,s_174101_6484,13.482407923379952,-28.23874143470118,0134m282,0.950070932871599,NEW
156,s_184364_6496,17.42323165664785,-26.317736710586722,0173m262,0.9497154027220471,NEW
157,s_217672_5384,68.10412062410246,-20.004030714048035,0680m200,0.9497154027220471,NEW
158,s_365726_2229,209.94739737857813,6.066806404368386,2100p060,0.9497154027220471,NEW
159,s_503995_2685,252.70664330333886,31.39117178427172,2527p315,0.9494915901542352,NEW
160,s_343178_6250,322.6958275130849,1.9990530613358894,3226p020,0.9494915901542352,NEW
161,s_84129_16959,62.79572721338356,-48.32765254650316,0626m482,0.9485712101755028,NEW
162,s_299577_6498,215.36584530696996,-5.614269391354741,2152m055,0.9484369459434945,NEW
163,s_315299_7557,192.992116718074,-2.8371165997863907,1928m027,0.9484369459434945,NEW
164,s_256199_9358,29.681935254091133,-13.025845248179799,0296m130,0.9484369459434945,NEW
165,s_16243_6141,21.821283288662556,-71.94162464058837,0220m720,0.9484369459434945,NEW
166,s_276648_1536,198.02496218970305,-9.606541191577158,1981m095,0.9478576032261307,NEW
167,s_310225_1475,3.2922758664753036,-3.5960043123894034,0033m035,0.9472360385303581,NEW
168,s_73683_5617,357.37534117117247,-51.22755237913434,3574m512,0.9465829881169292,NEW
169,s_146722_17971,309.73230368551117,-33.915353628667916,3095m340,0.9464602578323525,NEW
170,s_148704_11471,183.81765520896323,-33.60055460505981,1837m335,0.9464602578323525,NEW
171,s_109916_2952,181.12577316607508,-41.90751944616132,1811m420,0.9464602578323525,NEW
172,s_336711_8245,145.95021294628447,0.9908232495878302,1458p010,0.9464602578323525,NEW
173,s_115968_2617,28.924530019962553,-40.613609482051174,0290m405,0.9464602578323525,NEW
174,s_38089_958,18.74021409913701,-62.32530344800957,0189m622,0.9464602578323525,NEW
175,s_327526_9059,9.722192837376385,-0.4092690907773302,0096m005,0.9464602578323525,NEW
176,s_323786_8411,154.69718824763646,-1.359042541840185,1546m012,0.9463811912127055,NEW
177,s_242383_405,68.66199474131923,-15.442708920375733,0687m155,0.9463526748376726,NEW
178,s_341960_506,18.013569148476503,1.9105830531760224,0181p020,0.9461235644505462,NEW
179,s_210775_6862,27.233837528428726,-21.267817973723755,0271m212,0.9461235644505462,NEW
180,s_238584_2673,162.40412639753757,-16.34171250005036,1624m162,0.9461235644505462,NEW
181,s_112561_2391,343.77636489601736,-41.3889896482796,3438m415,0.9450133137178026,NEW
182,s_156039_8448,199.2648416116358,-31.88351626040399,1992m320,0.9450133137178026,NEW
183,s_168473_7316,208.560228350798,-29.430004197415897,2085m295,0.944826270904248,NEW
184,s_423665_2326,216.78860342641542,16.179789818156944,2168p162,0.944826270904248,NEW
185,s_137518_1068,31.35876533377698,-35.66317442530464,0314m357,0.944826270904248,NEW
186,s_502450_1529,161.11369028226878,31.23442522281989,1611p312,0.9441190031652745,NEW
187,s_13651_27665,4.7681204907375125,-73.44744799676941,0048m735,0.943825702173668,NEW
188,s_181762_10528,11.434705757769484,-26.62942491027393,0113m267,0.943379326789698,NEW
189,s_176787_9892,53.44575918815936,-27.83751411961419,0534m277,0.9431722313620096,NEW
190,s_137902_525,149.3035222428968,-35.67101350285877,1494m357,0.9425516600319888,NEW
191,s_462815_235,175.108533971417,23.555623670158518,1752p235,0.9425128894112997,NEW
192,s_490203_113,231.55512652892762,28.83743641478808,2316p287,0.9425128894112997,NEW
193,s_256959_326,224.3687939408863,-12.942348799377514,2244m130,0.9425128894112997,NEW
194,s_45913_10089,68.55310385820323,-59.42402367211658,0684m595,0.9425128894112997,NEW
195,s_38835_320,56.65430572297094,-61.97923356676845,0569m620,0.9425128894112997,NEW
196,s_306475_9936,144.63208806575838,-4.253471820273995,1445m042,0.9414026386785561,NEW
197,s_245128_10414,59.21895880766829,-14.966374595782392,0590m150,0.940724585637053,NEW
198,s_220012_1321,328.7394114013311,-19.660249560534055,3288m197,0.940724585637053,NEW
199,s_331254_10730,221.667150272107,-0.06397466543329682,2216p000,0.940724585637053,NEW
200,s_322599_11199,217.97249579751497,-1.5645962299035052,2178m015,0.940724585637053,NEW
201,s_169725_7823,207.08167484484062,-29.188658320488212,2070m292,0.940724585637053,NEW
202,s_178578_2300,198.08263587410826,-27.503573353199517,1981m275,0.940724585637053,NEW
203,s_134528_5402,187.55244904804704,-36.417294428116115,1876m365,0.940724585637053,NEW
204,s_200320_3065,85.86137102079597,-23.294559809022026,0859m232,0.940724585637053,NEW
205,s_70301_11647,80.86471786708906,-52.05510113531102,0806m520,0.940724585637053,NEW
206,s_12083_25083,23.921682262421694,-74.42363443249698,0236m745,0.940724585637053,NEW
207,s_238185_2303,58.57614331365837,-16.164547161886464,0586m162,0.940724585637053,NEW
208,s_72024_4215,55.37838459893382,-51.51239079654536,0554m515,0.940724585637053,NEW
209,s_185767_10541,47.773285861104675,-26.01781010178119,0476m260,0.940724585637053,NEW
210,s_127189_8605,47.380962930990464,-37.99577785410436,0472m380,0.940724585637053,NEW
211,s_297427_9202,35.57424820906193,-5.839421311747075,0355m057,0.940724585637053,NEW
212,s_303166_610,35.1058742235387,-4.804713239971744,0352m047,0.940724585637053,NEW
213,s_96893_8618,22.466060022028557,-44.98939494295528,0223m450,0.940724585637053,NEW
214,s_150549_15945,14.828533611323374,-33.03287218044325,0147m330,0.940724585637053,NEW
215,s_335611_2616,230.7949420115805,0.7462495578459579,2308p007,0.9405780293579882,NEW
216,s_176093_1646,217.3540983033107,-28.05488796789857,2174m280,0.9404824504167324,NEW
217,s_218296_6212,233.8250388603542,-19.953188270881473,2337m200,0.9401452429196893,NEW
218,s_231256_7006,49.922025310947,-17.567934033441894,0498m175,0.9401452429196893,NEW
219,s_70840_10642,298.7605148817568,-51.94678741877851,2987m520,0.9400637901534514,NEW
220,s_10579_19239,13.821296908373156,-75.53005087107395,0133m755,0.9390905987089484,NEW
221,s_326217_3241,42.299597651608714,-0.8136043873783405,0423m007,0.9390905987089484,NEW
222,s_39435_7864,14.461112586798306,-61.71060483404181,0144m617,0.9390905987089484,NEW
223,s_509179_2916,338.5430645103804,32.44538820240788,3385p325,0.9386042916109361,NEW
224,s_246374_1922,21.22116249395622,-14.717420296460146,0213m147,0.9385112559915847,NEW
225,s_420926_4592,225.31280826131606,15.691754592514535,2252p157,0.9385112559915847,NEW
226,s_126569_9384,210.78446016646382,-38.27747829914061,2106m382,0.9373391500328786,NEW
227,s_123800_1055,47.98332028176696,-38.695007465729304,0481m387,0.9372366408823831,NEW
228,s_225789_438,54.48265189808735,-18.46538591066474,0546m185,0.9371139105978065,NEW
229,s_355507_490,166.99713025506583,4.154564983625531,1671p042,0.9371139105978065,NEW
230,s_67636_9528,72.4913002363437,-52.641088573506764,0725m527,0.9371139105978065,NEW
231,s_217653_9775,63.16155859687281,-19.90233553844916,0630m200,0.9371139105978065,NEW
232,s_76325_1697,317.38055522396945,-50.494365931807366,3175m505,0.9371139105978065,NEW
233,s_250611_2199,33.78977959854764,-14.118533344243733,0338m140,0.9371139105978065,NEW
234,s_10579_19167,13.818353756192698,-75.52973146512356,0133m755,0.9371139105978065,NEW
235,s_40838_1054,27.982789348212236,-61.13736769298884,0281m612,0.9371139105978065,NEW
236,s_329635_5891,176.93815667702373,-0.23047705802274263,1768m002,0.9371139105978065,NEW
237,s_353463_3427,15.363349875048772,4.0694345287667435,0153p040,0.9371139105978065,NEW
238,s_64947_7653,35.05986591087891,-53.58634778322341,0349m535,0.9370783504773735,NEW
239,s_31676_958,33.826132915198784,-64.68484247663686,0340m647,0.9367772172160003,NEW
240,s_117260_633,92.13201667751194,-40.192289177566536,0922m402,0.9367772172160003,NEW
241,s_373728_253,62.451862542313485,7.424904794775611,0625p075,0.9367464921150196,NEW
242,s_141434_601,149.8815287577575,-34.890481694553756,1500m350,0.9367464921150196,NEW
243,s_133698_8794,289.8226470985309,-36.754867742048106,2897m367,0.9367464921150196,NEW
244,s_236755_8374,46.319709948922856,-16.603684084635482,0462m165,0.9361978744986367,NEW
245,s_389015_2827,325.89032871569674,10.0042000946784,3259p100,0.935970747342842,NEW
246,s_205603_3003,76.45684752405306,-22.263789226269136,0765m222,0.935970747342842,NEW
247,s_366451_1556,32.00980148092588,6.141627507546052,0320p062,0.935970747342842,NEW
248,s_374087_135,152.81469623181863,7.486385335695072,1529p075,0.9357183831654913,NEW
