group_id,RA,DEC,sep_arcsec,size_pix,fov_arcsec,status,bytes,attempts,path
12479,213.92328229587173,2.759936910884894,0.0,80,21.6,skip,3856,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00012479.jpg
12546,214.86430292080772,4.876173996659458,0.0,80,21.6,skip,3863,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00012546.jpg
12572,215.7964415689745,6.801610552391683,1.8987174359830579,87,23.490000000000002,skip,4658,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00012572.jpg
12624,186.73267914651953,-5.325085172599145,2.3059008629430275,88,23.76,skip,4737,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00012624.jpg
12652,190.6866949827786,-3.998722464238498,0.0,80,21.6,skip,3928,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00012652.jpg
12786,200.52372320358614,1.2948575618544067,0.0,80,21.6,skip,3875,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00012786.jpg
12841,194.67579351777425,1.5595193859368144,0.0,80,21.6,skip,4123,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00012841.jpg
12951,189.68557791798503,0.6025343023431381,0.0,80,21.6,skip,3409,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00012951.jpg
13453,154.3925211011586,-3.276686510897517,2.269048176957786,88,23.76,skip,3037,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00013453.jpg
13476,171.13286440720665,-5.342450522762923,0.0,80,21.6,skip,3843,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00013476.jpg
13533,166.45732547492176,-6.068682843835124,0.0,80,21.6,skip,4286,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00013533.jpg
13545,166.62217899320052,-5.395307493093879,2.440367034508809,89,24.03,skip,5348,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00013545.jpg
13611,167.28898503910648,-3.2115667027992774,0.0,80,21.6,skip,4187,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00013611.jpg
13948,171.15051348548744,2.2069130211593757,0.0,80,21.6,skip,3862,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00013948.jpg
14232,143.92595217107908,-1.5188676538788783,0.0,80,21.6,skip,3939,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00014232.jpg
14383,154.97659809932276,2.9372264486198323,2.836625177978123,90,24.3,skip,4576,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00014383.jpg
14577,183.50086083493315,5.3193582258151295,0.0,80,21.6,skip,4073,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00014577.jpg
14644,177.13525367659986,3.8261269214700686,0.0,80,21.6,skip,3883,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00014644.jpg
14646,178.6071473886132,4.686167908928848,0.0,80,21.6,ok,3860,1,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00014646.jpg
15232,181.3157870592812,36.79117168758833,0.0,80,21.6,skip,2935,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00015232.jpg
15273,178.9262508566663,37.05775211065576,0.0,80,21.6,skip,3374,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00015273.jpg
17688,235.17368704773594,-1.5948770231056717,0.0,80,21.6,skip,4061,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00017688.jpg
17839,232.23466218108896,2.629475625789043,0.0,80,21.6,skip,2283,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00017839.jpg
17920,252.9426732082558,6.07648568020406,0.0,80,21.6,skip,3883,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00017920.jpg
18031,257.84407594116925,26.259714524852313,2.891096743095062,90,24.3,skip,4509,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00018031.jpg
18053,268.20849196165227,25.732154432931296,0.3581538745199817,81,21.87,skip,3691,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00018053.jpg
19169,45.5270039913741,1.0216254468568082,2.984768329804826,91,24.57,skip,4320,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00019169.jpg
