name,RA,DEC,grade
DESI-015.3628-00.9079,15.3628,-0.9079,C
DESI-015.3792-03.3438,15.3792,-3.3438,C
DESI-015.8070-17.7531,15.807,-17.7531,C
DESI-015.9669-18.0271,15.9669,-18.0271,C
DESI-016.1507-00.5780,16.1507,-0.578,C
DESI-016.1763-02.4491,16.1763,-2.4491,C
DESI-016.1889-00.5809,16.1889,-0.5809,C
DESI-016.2032-00.6226,16.2032,-0.6226,C
DESI-016.2995-00.0690,16.2995,-0.069,C
DESI-016.3200+00.9163,16.32,0.9163,C
DESI-016.4625+02.8614,16.4625,2.8614,C
DESI-016.4883-00.1774,16.4883,-0.1774,C
DESI-016.8009-16.8580,16.8009,-16.858,C
DESI-016.8554-00.7320,16.8554,-0.732,C
DESI-016.9199-05.3919,16.9199,-5.3919,C
DESI-016.9228-03.8680,16.9228,-3.868,C
DESI-016.9682+00.3567,16.9682,0.3567,C
DESI-017.2362-17.9241,17.2362,-17.9241,C
DESI-018.0415+00.1861,18.0415,0.1861,C
DESI-018.4701+03.4968,18.4701,3.4968,C
DESI-019.8976-12.8253,19.8976,-12.8253,C
DESI-020.3517+00.1654,20.3517,0.1654,C
DESI-020.5273-04.8117,20.5273,-4.8117,C
DESI-021.5439-00.5883,21.5439,-0.5883,C
DESI-021.8518-05.7560,21.8518,-5.756,C
DESI-021.9637+00.0975,21.9637,0.0975,C
DESI-022.6104-15.3370,22.6104,-15.337,C
DESI-023.6659-06.9344,23.6659,-6.9344,C
DESI-023.7790+01.5306,23.779,1.5306,C
DESI-024.7012-07.5349,24.7012,-7.5349,C
DESI-025.8361-10.0680,25.8361,-10.068,C
DESI-026.2451-01.5934,26.2451,-1.5934,C
DESI-026.2771-00.7284,26.2771,-0.7284,C
DESI-027.5388-12.3284,27.5388,-12.3284,C
DESI-027.8872-08.5764,27.8872,-8.5764,C
DESI-028.2710-09.8289,28.271,-9.8289,C
DESI-028.3093-00.4385,28.3093,-0.4385,C
DESI-028.8348-13.9044,28.8348,-13.9044,C
DESI-029.1778-10.1834,29.1778,-10.1834,C
DESI-030.8114-09.1587,30.8114,-9.1587,C
DESI-031.8778-14.8046,31.8778,-14.8046,C
DESI-033.9735-12.6841,33.9735,-12.6841,C
DESI-034.0253-04.5771,34.0253,-4.5771,C
DESI-034.3281-05.1331,34.3281,-5.1331,C
DESI-035.7202-03.9575,35.7202,-3.9575,C
DESI-035.8285-04.3979,35.8285,-4.3979,C
DESI-035.8379-07.3794,35.8379,-7.3794,C
DESI-035.8438-06.3246,35.8438,-6.3246,C
DESI-035.8660-18.4836,35.866,-18.4836,C
DESI-035.9027-06.8806,35.9027,-6.8806,C
DESI-035.9185-05.8453,35.9185,-5.8453,C
DESI-035.9393-04.4005,35.9393,-4.4005,C
DESI-036.0184-04.4084,36.0184,-4.4084,C
DESI-036.0256-06.4796,36.0256,-6.4796,C
DESI-036.0536-06.1645,36.0536,-6.1645,C
DESI-036.0653-05.8029,36.0653,-5.8029,C
DESI-036.0879+00.0726,36.0879,0.0726,C
DESI-036.1151-05.2254,36.1151,-5.2254,C
DESI-036.1457-05.4990,36.1457,-5.499,C
DESI-036.2194-04.3486,36.2194,-4.3486,C
