,Index,Image,Name,Tractor Type,Score,Score Diff,Probability,Spec,Photo-z,ResNet Model,Ref,g mag,r mag,z mag,Region
369,370,,DESI-209.6224+16.9285,REX,3,2,0.93,,0.845+/-0.055,shielded,,21.23,20.57,19.3,DECaLS
370,371,,DESI-214.8006+53.4366,DC,3,0,0.98,0.1527,,L18,,21.48,19.5,17.98,MzLS
371,372,,DESI-214.8651-04.0003,REX,3,0,0.77,0.6031,,shielded,,21.0,20.18,19.23,DECaLS
372,373,,DESI-218.0748+07.0556,DC,3,0,0.79,0.5642,,L18,,22.88,21.27,19.79,DECaLS
373,374,,DESI-219.2455+29.6141,DC,3,0,0.46,0.5041,,L18,,20.47,18.8,17.89,DECaLS
374,375,,DESI-220.4044+50.2463,DC,3,0,1.0,0.5422,,L18,,21.96,21.05,19.46,MzLS
375,376,,DESI-223.1039+48.4711,DC,3,0,0.56,0.4441,,L18,,20.81,18.97,17.99,MzLS
376,377,,DESI-224.3857-01.9882,REX,3,2,0.79,,0.626+/-0.103,shielded,k,21.18,20.05,19.02,DECaLS
377,378,,DESI-225.4050+52.1417,DC,3,0,0.98,0.5527,,L18,,23.34,21.73,19.99,MzLS
378,379,,DESI-228.0786+20.8316,DC,3,0,0.19,,0.432+/-0.034,L18,,21.64,19.93,18.98,DECaLS
379,380,,DESI-228.8268+63.2724,DC,3,0,0.22,0.6335,,L18,,21.47,19.59,18.05,MzLS
380,381,,DESI-231.2874+42.4646,DC,3,0,0.17,0.2971,,L18,e,24.01,23.03,21.61,MzLS
381,382,,DESI-231.4998+08.7774,DC,3,0,0.8,0.28,,L18,,21.76,20.26,18.92,DECaLS
382,383,,DESI-231.8201+12.9511,DC,3,0,0.8,,0.709+/-0.148,L18,,22.64,21.25,19.74,DECaLS
383,384,,DESI-233.7453+01.3400,DC,3,0,0.34,,0.310+/-0.020,L18,,18.9,17.31,16.44,DECaLS
384,385,,DESI-234.4783+14.7232,DC,3,0,0.98,0.2603,,L18,,22.07,20.94,19.39,DECaLS
385,386,,DESI-236.0113+26.1712,REX,3,2,0.29,0.3359,,shielded,,20.61,20.14,19.15,DECaLS
386,387,,DESI-236.3307+16.2141,DC,3,0,0.18,0.5424,,L18,,20.25,18.37,17.4,DECaLS
387,388,,DESI-236.4854+10.0292,DC,3,0,0.95,0.5457,,L18,,21.2,19.46,17.93,DECaLS
388,389,,DESI-236.5553+35.0802,DC,3,0,0.99,0.5426,,L18,,20.08,18.79,17.95,MzLS
389,390,,DESI-244.3589+20.7108,DC,3,0,1.0,0.5273,,L18,,22.41,20.83,19.4,DECaLS
390,391,,DESI-244.5899+53.1871,DC,3,0,0.45,,0.454+/-0.028,L18,,20.67,18.93,17.87,MzLS
391,392,,DESI-255.6529+28.5791,DC,3,0,1.0,0.3393,,L18,,20.75,19.0,18.02,DECaLS
392,393,,DESI-257.4348+31.9046,DC,3,0,0.99,0.3667,,L18,,21.9,20.62,18.99,DECaLS
393,394,,DESI-259.0541+28.5928,DC,3,0,0.92,,0.277+/-0.007,L18,,19.05,17.51,16.68,DECaLS
394,395,,DESI-259.7428+11.2635,REX,3,2,0.18,0.5802,,shielded,,19.76,18.8,18.11,DECaLS
395,396,,DESI-267.2985+23.5101,DC,3,0,0.98,0.5566,,shielded,a,19.39,17.95,17.08,DECaLS
396,397,,DESI-269.7333+29.0742,REX,3,2,0.97,0.2183,,shielded,,22.26,20.73,19.91,DECaLS
