name,RA,DEC,grade,score,resnet_model,region,probability,tractor_type,spec_z,photo_z
DESI-151.1424+41.2121,151.1424,41.2121,A,4.0,l18,MzLS,0.3,DC,0.5934,nan
DESI-151.2154-00.5291,151.2154,-0.5291,A,3.5,shielded,DECaLS,1.0,REX,0.6335,nan
DESI-151.7182-07.9276,151.7182,-7.9276,A,4.0,l18,DECaLS,0.99,DC,,0.569+/-0.025
DESI-153.7269+44.2610,153.7269,44.261,A,3.5,shielded,MzLS,0.54,REX,0.2971,nan
DESI-153.7937+32.5308,153.7937,32.5308,A,4.0,l18,MzLS,0.08,DC,,0.243+/-0.147
DESI-156.8137+11.8314,156.8137,11.8314,A,3.5,shielded,DECaLS,0.28,REX,0.28,nan
DESI-157.4222+20.4043,157.4222,20.4043,A,3.5,shielded,DECaLS,0.43,DC,,0.946+/-0.324
DESI-157.6135-06.6858,157.6135,-6.6858,A,4.0,l18,DECaLS,1.0,DC,,0.463+/-0.029
DESI-160.1716+18.8477,160.1716,18.8477,A,4.0,l18,DECaLS,0.35,DC,,0.358+/-0.039
DESI-161.1159+31.2337,161.1159,31.2337,A,4.0,l18,DECaLS,0.83,DC,0.5291,nan
DESI-161.4114-08.8359,161.4114,-8.8359,A,3.5,l18,DECaLS,0.98,DC,,0.813+/-0.150
DESI-162.3475+35.7447,162.3475,35.7447,A,3.5,l18,MzLS,0.29,DC,0.2603,nan
DESI-164.9800+42.8595,164.98,42.8595,A,4.0,shielded,MzLS,0.29,REX,,0.817+/-0.036
DESI-166.9974+04.1560,166.9974,4.156,A,3.5,l18,DECaLS,0.67,DC,0.3359,nan
DESI-168.7683+16.7607,168.7683,16.7607,A,4.0,l18,DECaLS,0.96,DC,0.6197,nan
DESI-169.2414+14.7197,169.2414,14.7197,A,3.5,shielded,DECaLS,0.47,DC,0.5424,nan
DESI-169.9718+14.7456,169.9718,14.7456,A,4.0,shielded,DECaLS,0.16,REX,0.1967,nan
DESI-173.3049+50.1444,173.3049,50.1444,A,4.0,l18,MzLS,0.92,DC,0.2426,nan
DESI-174.5481+14.7863,174.5481,14.7863,A,3.5,l18,DECaLS,0.96,DC,0.5457,nan
DESI-175.0410+22.8792,175.041,22.8792,A,3.5,l18,DECaLS,0.99,DC,0.5426,nan
DESI-175.4961+19.3041,175.4961,19.3041,A,4.0,l18,DECaLS,1.0,REX,0.5425,nan
DESI-176.0987+17.7551,176.0987,17.7551,A,3.5,l18,DECaLS,0.49,DC,0.5273,nan
DESI-178.0775+08.8170,178.0775,8.817,A,4.0,l18,DECaLS,1.0,DC,0.3244,nan
DESI-179.0228+19.1869,179.0228,19.1869,A,4.0,l18,DECaLS,1.0,DC,0.5689,nan
DESI-179.5632-06.6056,179.5632,-6.6056,A,3.5,l18,DECaLS,0.75,DC,,0.430+/-0.014
DESI-179.8326+61.7939,179.8326,61.7939,A,3.5,l18,MzLS,0.99,DC,0.3393,nan
DESI-180.2708-02.3681,180.2708,-2.3681,A,3.5,shielded,DECaLS,0.93,REX,0.3667,nan
DESI-181.9031+52.9176,181.9031,52.9176,A,4.0,l18,MzLS,1.0,DC,0.3428,nan
DESI-183.0792+27.5646,183.0792,27.5646,A,4.0,shielded,DECaLS,0.44,REX,0.3364,nan
DESI-186.8276-07.1227,186.8276,-7.1227,A,3.5,shielded,DECaLS,1.0,REX,,0.617+/-0.126
DESI-187.2782+59.1413,187.2782,59.1413,A,3.5,l18,MzLS,0.98,DC,0.5802,nan
DESI-188.2155+27.0359,188.2155,27.0359,A,3.5,l18,DECaLS,1.0,DC,0.5566,nan
DESI-189.4008+55.5619,189.4008,55.5619,A,4.0,l18,MzLS,1.0,DC,0.4279,nan
DESI-189.9885+12.6693,189.9885,12.6693,A,3.5,l18,DECaLS,0.16,DC,0.2183,nan
DESI-190.1345+45.1508,190.1345,45.1508,A,4.0,l18,MzLS,1.0,DC,0.2256,nan
DESI-190.6911+75.8730,190.6911,75.873,A,3.5,shielded,MzLS,0.87,REX,,0.424+/-0.031
DESI-190.7929+21.3329,190.7929,21.3329,A,3.5,l18,DECaLS,0.99,DC,0.3106,nan
DESI-191.2226+04.2210,191.2226,4.221,A,3.5,l18,DECaLS,0.83,DC,0.326,nan
DESI-192.4699+03.1592,192.4699,3.1592,A,3.5,l18,DECaLS,1.0,DC,0.3202,nan
DESI-192.9428+01.7155,192.9428,1.7155,A,4.0,l18,DECaLS,0.31,DC,0.673,nan
DESI-196.4575+22.9256,196.4575,22.9256,A,4.0,l18,DECaLS,1.0,DC,0.2677,nan
DESI-197.5704+14.7474,197.5704,14.7474,A,4.0,shielded,DECaLS,0.14,REX,0.2943,nan
DESI-200.7252+58.1651,200.7252,58.1651,A,4.0,l18,MzLS,0.68,DC,0.2229,nan
DESI-200.7678+03.7216,200.7678,3.7216,A,4.0,shielded,DECaLS,0.34,DC,,0.896+/-0.078
DESI-205.1910+38.5483,205.191,38.5483,A,3.5,l18,MzLS,0.96,DC,0.6334,nan
DESI-211.6718+08.7580,211.6718,8.758,A,3.5,shielded,DECaLS,0.38,REX,0.1857,nan
DESI-211.9734-00.4713,211.9734,-0.4713,A,3.5,l18,DECaLS,0.15,REX,0.481,nan
DESI-214.3545+76.2152,214.3545,76.2152,A,4.0,shielded,MzLS,0.28,REX,,0.343+/-0.386
DESI-218.2479-07.2268,218.2479,-7.2268,A,3.5,l18,DECaLS,1.0,DC,,0.352+/-0.043
DESI-218.3457+60.1209,218.3457,60.1209,A,3.5,l18,MzLS,1.0,DC,,0.408+/-0.072
DESI-218.4715+14.0687,218.4715,14.0687,A,3.5,l18,DECaLS,1.0,DC,0.5512,nan
DESI-220.4549+14.6891,220.4549,14.6891,A,4.0,l18,DECaLS,1.0,DC,0.6149,nan
DESI-221.8241+78.0430,221.8241,78.043,A,4.0,l18,MzLS,0.3,DC,,0.415+/-0.281
DESI-227.3528+39.0279,227.3528,39.0279,A,4.0,l18,MzLS,1.0,DC,0.5975,nan
DESI-227.5364+20.6236,227.5364,20.6236,A,3.5,l18,DECaLS,1.0,DC,0.5847,nan
DESI-234.8707+16.8379,234.8707,16.8379,A,3.5,l18,DECaLS,0.99,DC,0.3979,nan
DESI-240.8979+05.8745,240.8979,5.8745,A,3.5,shielded,DECaLS,0.97,DC,0.6753,nan
DESI-241.2220+74.5292,241.222,74.5292,A,3.5,l18,MzLS,0.15,DC,,0.331+/-0.021
DESI-245.7514+21.6226,245.7514,21.6226,A,4.0,l18,DECaLS,1.0,DC,,0.782+/-0.062
DESI-246.0062+01.4836,246.0062,1.4836,A,3.5,l18,DECaLS,1.0,DC,,0.912+/-0.105
DESI-248.5498+70.9303,248.5498,70.9303,A,3.5,l18,MzLS,0.78,DC,,0.237+/-0.017
DESI-252.2720+02.3993,252.272,2.3993,A,4.0,l18,DECaLS,1.0,DC,,0.480+/-0.139
DESI-252.9173+28.0881,252.9173,28.0881,A,3.5,l18,DECaLS,1.0,DC,,0.719+/-0.130
DESI-253.2534+26.8843,253.2534,26.8843,A,3.5,shielded,DECaLS,0.97,DC,0.5214,nan
DESI-254.4235+34.8162,254.4235,34.8162,A,4.0,l18,MzLS,1.0,DC,0.5777,nan
DESI-260.8405+23.8442,260.8405,23.8442,A,4.0,shielded,DECaLS,0.99,DC,,0.424+/-0.155
DESI-260.9006+34.1995,260.9006,34.1995,A,3.5,shielded,MzLS,0.85,DC,0.4184,nan
DESI-266.4075+39.8584,266.4075,39.8584,A,4.0,l18,MzLS,0.17,REX,,0.339+/-0.050
